,close,date,high,low,market_cap,open,volume
0,0.001227,"Jun 07, 2018",0.001227,0.001225,"21,225",0.001225,37
1,0.001224,"Jun 06, 2018",0.001297,0.001200,"22,466",0.001297,37
2,0.001386,"Jun 04, 2018",0.001391,0.001383,"24,041",0.001388,1
3,0.001387,"Jun 03, 2018",0.001391,0.001373,"23,832",0.001376,1
4,0.001346,"Jun 01, 2018",0.001354,0.001346,"23,363",0.001348,7
5,0.001348,"May 31, 2018",0.001366,0.001325,"22,963",0.001325,7
6,0.001322,"May 30, 2018",0.001359,0.001315,"23,279",0.001344,58
7,0.001343,"May 29, 2018",0.001346,0.001274,"22,200",0.001281,59
8,0.001282,"May 28, 2018",0.001313,0.001278,"22,550",0.001302,16
9,0.001484,"May 24, 2018",0.001544,0.001479,"26,043",0.001504,12
10,0.001508,"May 23, 2018",0.001590,0.001494,"27,204",0.001571,12
11,0.001483,"May 22, 2018",0.001515,0.001471,"26,197",0.001513,1
12,0.001514,"May 21, 2018",0.001792,0.001501,"30,990",0.001791,3
13,0.001789,"May 20, 2018",0.001789,0.001475,"25,679",0.001484,13
14,0.001483,"May 19, 2018",0.001735,0.001471,"29,928",0.001730,16
15,0.001730,"May 18, 2018",0.001737,0.001592,"27,940",0.001616,9
16,0.001614,"May 17, 2018",0.001689,0.001469,"28,867",0.001670,737
17,0.001669,"May 16, 2018",0.001699,0.001627,"29,337",0.001697,22
18,0.001698,"May 15, 2018",0.001764,0.001688,"29,981",0.001735,338
19,0.001738,"May 14, 2018",0.001853,0.001727,"31,429",0.001819,220
20,0.001718,"May 11, 2018",0.001808,0.001705,"31,208",0.001808,20
21,0.001805,"May 10, 2018",0.001831,0.001804,"31,569",0.001829,21
22,0.002181,"May 09, 2018",0.002209,0.002158,"38,098",0.002208,1
23,0.002211,"May 08, 2018",0.002253,0.001957,"33,935",0.001967,1
24,0.001963,"May 07, 2018",0.002020,0.001934,"34,817",0.002019,3
25,0.002017,"May 06, 2018",0.002203,0.002000,"37,959",0.002201,89
26,0.002062,"May 05, 2018",0.002091,0.002032,"35,085",0.002035,6
27,0.002036,"May 04, 2018",0.002052,0.002008,"35,282",0.002047,6
28,0.002048,"May 03, 2018",0.002058,0.001837,"31,740",0.001844,50
29,0.001844,"May 02, 2018",0.001851,0.001801,"31,272",0.001817,11
30,0.001819,"May 01, 2018",0.001848,0.001773,"31,815",0.001848,45
31,0.001847,"Apr 30, 2018",0.001982,0.001837,"33,986",0.001974,40
32,0.001975,"Apr 29, 2018",0.002277,0.001945,"39,196",0.002277,5
33,0.002060,"Apr 28, 2018",0.002074,0.001956,"33,744",0.001961,24
34,0.001968,"Apr 27, 2018",0.002048,0.001829,"31,989",0.001859,23
35,0.001857,"Apr 26, 2018",0.001879,0.001769,"31,962",0.001861,28
36,0.001846,"Apr 25, 2018",0.002339,0.001843,"39,970",0.002328,30
37,0.002343,"Apr 24, 2018",0.002343,0.001963,"33,718",0.001963,21
38,0.001962,"Apr 23, 2018",0.002321,0.001944,"39,207",0.002283,573
39,0.002288,"Apr 22, 2018",0.002335,0.002212,"39,864",0.002321,18
40,0.002321,"Apr 21, 2018",0.002333,0.002194,"37,960",0.002210,18
41,0.002210,"Apr 20, 2018",0.002651,0.002036,"41,179",0.002398,382
42,0.002396,"Apr 19, 2018",0.002396,0.001637,"29,443",0.001715,"2,290"
43,0.001713,"Apr 18, 2018",0.002845,0.001538,"33,894",0.001974,"25,581"
44,0.001972,"Apr 17, 2018",0.002432,0.001617,"38,689",0.002254,215
45,0.002253,"Apr 16, 2018",0.002686,0.002234,"45,830",0.002670,7
46,0.002672,"Apr 15, 2018",0.002674,0.002320,"39,811",0.002320,44
47,0.002318,"Apr 14, 2018",0.002615,0.002065,"41,833",0.002439,341
48,0.002439,"Apr 13, 2018",0.002548,0.002332,"40,738",0.002375,72
49,0.002373,"Apr 12, 2018",0.002385,0.002029,"35,729",0.002084,35
50,0.002089,"Apr 11, 2018",0.002154,0.001910,"32,785",0.001913,83
51,0.001911,"Apr 10, 2018",0.002960,0.001884,"33,597",0.001961,"1,124"
52,0.001959,"Apr 09, 2018",0.004182,0.001806,"32,497",0.001897,"3,592"
53,0.001894,"Apr 08, 2018",0.001916,0.001864,"31,930",0.001864,19
54,0.001862,"Apr 07, 2018",0.001886,0.001701,"29,481",0.001722,37
55,0.001719,"Apr 06, 2018",0.001720,0.001631,"29,003",0.001694,8
56,0.001703,"Apr 05, 2018",0.002050,0.001697,"34,875",0.002038,26
57,0.002037,"Apr 04, 2018",0.002225,0.002018,"38,073",0.002225,89
58,0.002226,"Apr 03, 2018",0.002248,0.001846,"34,973",0.002044,156
59,0.002043,"Apr 02, 2018",0.002253,0.002004,"37,356",0.002184,61
60,0.002173,"Apr 01, 2018",0.002249,0.002063,"37,919",0.002218,9
61,0.002218,"Mar 31, 2018",0.002338,0.002193,"38,572",0.002256,3
62,0.002256,"Mar 30, 2018",0.002424,0.002113,"38,743",0.002267,43
63,0.002272,"Mar 29, 2018",0.002704,0.002206,"46,136",0.002700,12
64,0.002697,"Mar 28, 2018",0.002714,0.001967,"39,897",0.002336,778
65,0.002337,"Mar 27, 2018",0.002515,0.002193,"39,065",0.002287,26
66,0.002291,"Mar 26, 2018",0.002546,0.002199,"43,231",0.002532,34
67,0.002534,"Mar 25, 2018",0.002603,0.002381,"40,637",0.002381,7
68,0.002414,"Mar 24, 2018",0.002518,0.002357,"41,065",0.002406,4
69,0.002372,"Mar 23, 2018",0.002892,0.002247,"48,991",0.002871,93
70,0.002872,"Mar 22, 2018",0.003067,0.002642,"48,551",0.002847,195
71,0.002852,"Mar 21, 2018",0.003315,0.002812,"56,186",0.003295,52
72,0.003289,"Mar 20, 2018",0.006812,0.002542,"116,149",0.006812,"16,712"
73,0.006737,"Mar 19, 2018",0.006750,0.002774,"50,260",0.002949,"7,863"
74,0.002961,"Mar 18, 2018",0.002967,0.002008,"41,661",0.002445,"3,035"
75,0.002451,"Mar 17, 2018",0.002505,0.002344,"42,431",0.002490,287
76,0.002486,"Mar 16, 2018",0.002745,0.002486,"45,026",0.002643,9
77,0.002645,"Mar 15, 2018",0.003110,0.001758,"51,712",0.003037,183
78,0.003038,"Mar 14, 2018",0.003209,0.002958,"52,962",0.003111,75
79,0.003110,"Mar 13, 2018",0.003713,0.003094,"57,239",0.003363,279
80,0.003382,"Mar 12, 2018",0.003790,0.002997,"63,342",0.003722,30
81,0.003734,"Mar 11, 2018",0.004300,0.002894,"68,674",0.004037,375
82,0.004051,"Mar 10, 2018",0.004363,0.004014,"72,447",0.004259,71
83,0.004258,"Mar 09, 2018",0.004325,0.003943,"72,694",0.004275,3
84,0.004302,"Mar 08, 2018",0.005081,0.004169,"85,753",0.005044,29
85,0.005051,"Mar 07, 2018",0.005133,0.004345,"83,803",0.004931,1
86,0.004937,"Mar 06, 2018",0.005604,0.004879,"93,839",0.005523,24
87,0.005538,"Mar 05, 2018",0.005643,0.005484,"95,707",0.005634,6
88,0.005638,"Mar 04, 2018",0.006182,0.005581,"104,917",0.006177,29
89,0.006188,"Mar 03, 2018",0.006653,0.005620,"95,424",0.005620,63
90,0.005627,"Mar 02, 2018",0.006021,0.005510,"94,398",0.005561,68
91,0.005575,"Mar 01, 2018",0.005802,0.005428,"97,199",0.005727,5
92,0.005281,"Feb 28, 2018",0.005517,0.005243,"90,473",0.005332,21
93,0.005339,"Feb 27, 2018",0.005897,0.004983,"85,710",0.005053,58
94,0.005038,"Feb 26, 2018",0.005207,0.004517,"78,037",0.004602,17
95,0.004596,"Feb 25, 2018",0.005425,0.004479,"90,417",0.005333,3
96,0.005341,"Feb 24, 2018",0.006509,0.005174,"108,356",0.006392,207
97,0.006400,"Feb 23, 2018",0.006524,0.004369,"75,077",0.004430,17
98,0.004434,"Feb 22, 2018",0.004908,0.004387,"79,797",0.004710,166
99,0.004715,"Feb 21, 2018",0.005688,0.004715,"94,994",0.005608,192
100,0.005615,"Feb 20, 2018",0.008138,0.005555,"132,426",0.007820,63
101,0.007813,"Feb 19, 2018",0.007864,0.005055,"112,553",0.006648,159
102,0.006679,"Feb 18, 2018",0.007447,0.006663,"123,926",0.007322,31
103,0.007299,"Feb 17, 2018",0.009795,0.006520,"115,569",0.006830,367
104,0.006831,"Feb 16, 2018",0.006853,0.005947,"104,130",0.006155,1
105,0.006182,"Feb 15, 2018",0.006836,0.006158,"107,370",0.006348,55
106,0.006345,"Feb 14, 2018",0.006361,0.005361,"90,654",0.005361,6
107,0.005377,"Feb 13, 2018",0.005542,0.004832,"93,256",0.005516,16
108,0.005506,"Feb 12, 2018",0.005672,0.005188,"87,683",0.005188,74
109,0.005394,"Feb 11, 2018",0.005472,0.005029,"92,456",0.005472,2
110,0.005477,"Feb 10, 2018",0.005975,0.005235,"96,873",0.005735,3
111,0.005730,"Feb 09, 2018",0.005748,0.004575,"93,407",0.005531,118
112,0.005514,"Feb 08, 2018",0.005664,0.004647,"80,856",0.004788,87
113,0.005100,"Feb 06, 2018",0.005250,0.004275,"84,329",0.004997,101
114,0.004991,"Feb 05, 2018",0.005938,0.004799,"98,378",0.005831,99
115,0.005888,"Feb 04, 2018",0.006379,0.005355,"106,032",0.006286,27
116,0.006283,"Feb 03, 2018",0.007575,0.006025,"124,048",0.007356,4
117,0.007331,"Feb 02, 2018",0.007555,0.005090,"101,050",0.005994,1
118,0.006006,"Feb 01, 2018",0.008566,0.005704,"140,567",0.008340,869
119,0.008320,"Jan 31, 2018",0.008320,0.006360,"111,403",0.006611,806
120,0.006601,"Jan 30, 2018",0.007980,0.006491,"133,963",0.007952,72
121,0.007949,"Jan 29, 2018",0.008382,0.007344,"130,899",0.007772,245
122,0.007779,"Jan 28, 2018",0.009553,0.007079,"119,194",0.007079,524
123,0.007043,"Jan 27, 2018",0.010400,0.007025,"138,597",0.008233,178
124,0.008238,"Jan 26, 2018",0.011386,0.007986,"184,074",0.010937,435
125,0.010966,"Jan 25, 2018",0.013787,0.010016,"226,580",0.013466,59
126,0.013248,"Jan 24, 2018",0.013515,0.009412,"162,287",0.009647,38
127,0.009653,"Jan 23, 2018",0.010064,0.009494,"160,252",0.009527,2
128,0.011102,"Jan 22, 2018",0.011203,0.010637,"183,461",0.010911,420
129,0.010764,"Jan 21, 2018",0.016629,0.010535,"279,522",0.016629,407
130,0.016590,"Jan 20, 2018",0.018114,0.009582,"165,911",0.009873,816
131,0.009766,"Jan 19, 2018",0.022308,0.006839,"117,467",0.006992,"9,822"
132,0.007066,"Jan 18, 2018",0.011137,0.006236,"106,649",0.006349,91
133,0.007435,"Jan 17, 2018",0.011362,0.006515,"186,055",0.011080,84
134,0.011136,"Jan 16, 2018",0.014075,0.004638,"236,301",0.014075,427
135,0.014058,"Jan 15, 2018",0.022599,0.007137,"153,942",0.009172,"2,639"
136,0.009239,"Jan 14, 2018",0.011795,0.008756,"171,096",0.010196,334
137,0.010190,"Jan 13, 2018",0.022829,0.007498,"371,136",0.022123,522
138,0.022148,"Jan 12, 2018",0.023529,0.009843,"393,819",0.023482,"1,419"
139,0.023328,"Jan 11, 2018",0.029963,0.018491,"502,415",0.029963,"1,464"
140,0.029847,"Jan 10, 2018",0.030219,0.009719,"181,170",0.010807,"16,340"
141,0.010793,"Jan 09, 2018",0.011571,0.010641,"186,773",0.011144,384
142,0.011175,"Jan 08, 2018",0.011399,0.010112,"191,002",0.011399,138
143,0.011415,"Jan 07, 2018",0.011486,0.008631,"149,845",0.008945,63
144,0.008952,"Jan 06, 2018",0.012651,0.008509,"210,479",0.012568,24
145,0.012558,"Jan 05, 2018",0.012665,0.011200,"190,632",0.011386,68
146,0.011384,"Jan 04, 2018",0.011384,0.006285,"142,581",0.008518,278
147,0.008472,"Jan 03, 2018",0.008819,0.005798,"134,066",0.008011,332
148,0.008040,"Jan 02, 2018",0.008208,0.007039,"121,977",0.007291,16
149,0.007291,"Jan 01, 2018",0.007391,0.006449,"108,706",0.006498,21
150,0.006331,"Dec 31, 2017",0.006599,0.006168,"104,180",0.006230,1
151,0.006298,"Dec 30, 2017",0.008265,0.005965,"138,133",0.008263,1
152,0.008283,"Dec 29, 2017",0.008924,0.006074,"106,395",0.006366,168
153,0.006300,"Dec 28, 2017",0.007472,0.005587,"124,447",0.007448,85
154,0.007463,"Dec 27, 2017",0.008097,0.006477,"129,636",0.007760,46
155,0.007755,"Dec 26, 2017",0.007900,0.006267,"111,669",0.006686,13
156,0.006693,"Dec 25, 2017",0.006799,0.005257,"96,437",0.005776,31
157,0.005716,"Dec 24, 2017",0.008354,0.005147,"104,845",0.006281,245
158,0.006212,"Dec 23, 2017",0.008826,0.006184,"133,478",0.007998,123
159,0.007923,"Dec 22, 2017",0.008599,0.005744,"117,975",0.007071,2
160,0.007046,"Dec 21, 2017",0.012866,0.006816,"203,463",0.012198,2
161,0.012166,"Dec 20, 2017",0.012619,0.009919,"186,318",0.011173,226
162,0.011174,"Dec 19, 2017",0.011188,0.008052,"137,176",0.008228,76
163,0.008221,"Dec 18, 2017",0.008418,0.007952,"140,313",0.008418,38
164,0.008393,"Dec 17, 2017",0.011577,0.007665,"129,313",0.007760,192
