,close,date,high,low,market_cap,open,volume
0,0.065698,"Jun 08, 2018",0.074674,0.065698,"41,348",0.074520,86
1,0.074464,"Jun 07, 2018",0.085927,0.074213,"47,115",0.084913,62
2,0.084835,"Jun 06, 2018",0.085274,0.068500,"38,198",0.068844,56
3,0.068862,"Jun 05, 2018",0.076231,0.063479,"36,007",0.064895,29
4,0.064864,"Jun 04, 2018",0.066861,0.064658,"36,999",0.066682,7
5,0.066651,"Jun 03, 2018",0.066830,0.065368,"36,432",0.065660,8
6,0.065642,"Jun 02, 2018",0.065970,0.065389,"36,488",0.065761,7
7,0.064352,"Jun 01, 2018",0.064689,0.064334,"35,748",0.064428,42
8,0.064381,"May 31, 2018",0.065494,0.063197,"35,433",0.063860,49
9,0.063872,"May 30, 2018",0.064988,0.063190,"35,619",0.064196,3
10,0.064152,"May 29, 2018",0.064527,0.061166,"34,126",0.061504,2
11,0.061524,"May 28, 2018",0.063737,0.061337,"35,050",0.063170,27
12,0.063156,"May 27, 2018",0.085383,0.062849,"47,292",0.085234,47
13,0.085196,"May 26, 2018",0.088070,0.064079,"35,925",0.064747,7
14,0.064832,"May 25, 2018",0.090492,0.063376,"36,256",0.065342,49
15,0.065220,"May 24, 2018",0.088371,0.062577,"38,176",0.068804,169
16,0.068978,"May 23, 2018",0.069877,0.068415,"38,187",0.068824,4
17,0.083627,"May 22, 2018",0.085403,0.082954,"47,350",0.085338,1
18,0.085353,"May 21, 2018",0.087595,0.085014,"48,308",0.087065,1
19,0.086956,"May 20, 2018",0.087629,0.084598,"46,939",0.084598,8
20,0.071633,"May 19, 2018",0.072042,0.070379,"39,360",0.070937,2
21,0.070948,"May 18, 2018",0.071204,0.069777,"38,741",0.069822,2
22,0.070385,"May 17, 2018",0.072612,0.070207,"39,836",0.071796,21
23,0.071752,"May 16, 2018",0.092320,0.070689,"51,182",0.092245,36
24,0.092298,"May 15, 2018",0.092587,0.076148,"43,270",0.077983,9
25,0.078117,"May 14, 2018",0.095013,0.071612,"52,606",0.094811,55
26,0.094828,"May 13, 2018",0.095530,0.091304,"51,259",0.092383,4
27,0.092415,"May 12, 2018",0.094196,0.090097,"50,302",0.090658,10
28,0.095088,"May 11, 2018",0.096344,0.094868,"53,457",0.096344,2
29,0.096229,"May 10, 2018",0.102196,0.096136,"56,484",0.101800,2
30,0.101829,"May 09, 2018",0.101995,0.098018,"55,635",0.100269,3
31,0.100422,"May 08, 2018",0.100857,0.100000,"55,811",0.100587,2
32,0.102239,"May 07, 2018",0.105035,0.100559,"58,249",0.104981,2
33,0.104906,"May 06, 2018",0.108235,0.103040,"59,498",0.107231,5
34,0.107158,"May 05, 2018",0.107445,0.095903,"53,296",0.096054,1
35,0.096099,"May 04, 2018",0.096584,0.089964,"50,751",0.091468,52
36,0.071034,"May 03, 2018",0.071474,0.070823,"39,439",0.071080,16
37,0.071078,"May 02, 2018",0.081638,0.069933,"44,805",0.080751,16
38,0.080872,"May 01, 2018",0.080872,0.076335,"44,146",0.079563,3
39,0.079494,"Apr 30, 2018",0.081647,0.079089,"45,123",0.081323,8
40,0.081350,"Apr 29, 2018",0.082461,0.079937,"45,745",0.082445,2
41,0.081379,"Apr 28, 2018",0.081922,0.077278,"42,988",0.077477,10
42,0.077743,"Apr 27, 2018",0.087902,0.077743,"44,621",0.080420,10
43,0.080309,"Apr 26, 2018",0.080488,0.075830,"43,128",0.077728,7
44,0.077089,"Apr 25, 2018",0.085463,0.076981,"47,191",0.085052,10
45,0.085634,"Apr 24, 2018",0.089516,0.082984,"46,747",0.084251,31
46,0.084180,"Apr 23, 2018",0.086489,0.081142,"47,797",0.086143,43
47,0.086317,"Apr 22, 2018",0.096462,0.085873,"48,548",0.087497,121
48,0.087497,"Apr 21, 2018",0.130074,0.085733,"58,970",0.106280,378
49,0.106243,"Apr 20, 2018",0.129379,0.101962,"70,242",0.126596,288
50,0.126512,"Apr 19, 2018",0.126602,0.123809,"68,992",0.124343,156
51,0.124251,"Apr 18, 2018",0.125032,0.119949,"67,032",0.120810,41
52,0.120698,"Apr 17, 2018",0.124592,0.120305,"68,379",0.123238,3
53,0.123176,"Apr 16, 2018",0.126975,0.119798,"70,058",0.126264,3
54,0.126317,"Apr 15, 2018",0.156952,0.113778,"63,130",0.113778,79
55,0.113656,"Apr 14, 2018",0.150773,0.113398,"80,535",0.145145,113
56,0.145067,"Apr 13, 2018",0.165947,0.133586,"74,778",0.134770,82
57,0.134600,"Apr 12, 2018",0.170118,0.118071,"67,295",0.121284,60
58,0.121577,"Apr 11, 2018",0.154379,0.120052,"84,218",0.151784,8
59,0.151638,"Apr 10, 2018",0.164657,0.091405,"91,076",0.164143,38
60,0.164009,"Apr 09, 2018",0.173447,0.136781,"85,132",0.153430,54
61,0.153182,"Apr 08, 2018",0.167895,0.152148,"90,715",0.163493,242
62,0.163346,"Apr 07, 2018",0.206211,0.162675,"91,884",0.165600,115
63,0.165402,"Apr 06, 2018",0.175762,0.163953,"96,517",0.173949,85
64,0.174840,"Apr 05, 2018",0.175298,0.168268,"96,435",0.173802,28
65,0.173729,"Apr 04, 2018",0.189785,0.172147,"105,303",0.189785,9
66,0.189916,"Apr 03, 2018",0.219160,0.186341,"103,727",0.186944,11
67,0.186811,"Apr 02, 2018",0.210110,0.174742,"97,591",0.175885,114
68,0.175024,"Apr 01, 2018",0.181130,0.166172,"99,086",0.178581,1
69,0.178586,"Mar 31, 2018",0.185469,0.161413,"89,757",0.161767,18
70,0.161743,"Mar 30, 2018",0.205269,0.156484,"112,058",0.201958,166
71,0.202462,"Mar 29, 2018",0.231744,0.196573,"128,379",0.231373,9
72,0.236698,"Mar 28, 2018",0.238330,0.227893,"127,154",0.229166,1
73,0.229218,"Mar 27, 2018",0.241186,0.228336,"133,396",0.240416,1
74,0.240780,"Mar 26, 2018",0.242111,0.230235,"133,510",0.240621,1
75,0.240805,"Mar 25, 2018",0.247394,0.238806,"134,509",0.242423,51
76,0.245806,"Mar 24, 2018",0.264480,0.245799,"141,471",0.254969,52
77,0.251309,"Mar 23, 2018",0.257916,0.239265,"138,177",0.249032,13
78,0.249038,"Mar 22, 2018",0.268665,0.245041,"140,866",0.253878,11
79,0.254342,"Mar 21, 2018",0.284258,0.251951,"148,218",0.267130,281
80,0.266647,"Mar 20, 2018",0.270315,0.250390,"143,539",0.258697,43
81,0.255843,"Mar 19, 2018",0.260386,0.244282,"136,378",0.245791,172
82,0.246831,"Mar 18, 2018",0.249389,0.220594,"131,277",0.236597,49
83,0.237174,"Mar 17, 2018",0.251309,0.233735,"139,150",0.250786,260
84,0.250373,"Mar 16, 2018",0.259004,0.239812,"138,053",0.248809,30
85,0.248950,"Mar 15, 2018",0.253198,0.231812,"137,068",0.247033,19
86,0.247144,"Mar 14, 2018",0.307873,0.245666,"152,550",0.274937,41
87,0.274899,"Mar 13, 2018",0.284858,0.266486,"151,540",0.273117,11
88,0.274694,"Mar 12, 2018",0.340278,0.264808,"185,456",0.334243,15
89,0.335299,"Mar 11, 2018",0.341202,0.298796,"170,999",0.308187,256
90,0.309254,"Mar 10, 2018",0.334628,0.306444,"181,261",0.326681,55
91,0.326540,"Mar 09, 2018",0.330328,0.295017,"181,148",0.326477,902
92,0.328558,"Mar 08, 2018",0.356775,0.318373,"192,733",0.347357,110
93,0.347850,"Mar 07, 2018",0.385157,0.331706,"210,540",0.379450,24
94,0.379943,"Mar 06, 2018",0.406826,0.375485,"225,730",0.406826,63
95,0.407954,"Mar 05, 2018",0.489887,0.401026,"224,048",0.403796,47
96,0.404091,"Mar 04, 2018",0.753230,0.398615,"275,923",0.497289,669
97,0.498148,"Mar 03, 2018",0.775057,0.441987,"245,239",0.441987,362
98,0.442529,"Mar 02, 2018",0.447230,0.433382,"242,784",0.437563,34
99,0.438691,"Mar 01, 2018",0.443973,0.411319,"230,014",0.414548,201
100,0.413938,"Feb 28, 2018",0.533008,0.413570,"237,162",0.427430,34
