,close,date,high,low,market_cap,open,volume
0,1.92,"Jun 08, 2018",1.99,1.85,"3,273,890",1.98,"4,335"
1,1.93,"Jun 07, 2018",2.02,1.91,"3,288,200",1.99,"4,507"
2,1.99,"Jun 06, 2018",2.09,1.89,"3,319,120",2.01,"8,493"
3,2.02,"Jun 05, 2018",2.08,1.95,"3,399,890",2.06,"11,405"
4,2.06,"Jun 04, 2018",2.15,2.00,"3,539,980",2.15,"8,991"
5,2.16,"Jun 03, 2018",2.26,2.02,"3,319,470",2.02,"25,057"
6,1.99,"Jun 02, 2018",2.05,1.84,"3,093,790",1.88,"8,284"
7,1.88,"Jun 01, 2018",1.92,1.82,"3,045,290",1.86,"6,443"
8,1.85,"May 31, 2018",1.92,1.83,"3,051,910",1.86,"4,843"
9,1.86,"May 30, 2018",1.94,1.84,"3,074,790",1.88,"7,004"
10,1.88,"May 29, 2018",1.94,1.75,"3,000,790",1.83,"8,975"
11,1.83,"May 28, 2018",2.07,1.83,"3,370,570",2.06,"8,438"
12,2.06,"May 27, 2018",2.11,2.02,"3,371,890",2.06,"9,530"
13,2.11,"May 26, 2018",2.21,2.05,"3,570,770",2.19,"9,991"
14,2.17,"May 25, 2018",2.77,2.15,"3,894,740",2.39,"34,495"
15,2.38,"May 24, 2018",4.25,2.04,"3,571,160",2.19,"58,054"
16,2.20,"May 23, 2018",2.45,2.13,"3,890,350",2.39,"12,724"
17,2.39,"May 22, 2018",2.60,2.38,"4,228,880",2.60,"7,234"
18,2.60,"May 21, 2018",2.65,2.49,"4,074,160",2.51,"11,095"
19,2.50,"May 20, 2018",2.54,2.42,"3,984,870",2.45,"2,495"
20,2.43,"May 19, 2018",2.59,2.39,"3,907,470",2.41,"12,381"
21,2.41,"May 18, 2018",2.49,2.28,"3,759,150",2.32,"7,614"
22,2.32,"May 17, 2018",2.46,2.30,"3,891,220",2.40,"23,751"
23,2.40,"May 16, 2018",2.54,2.33,"3,978,790",2.46,"15,074"
24,2.46,"May 15, 2018",2.64,2.45,"4,067,760",2.51,"11,975"
25,2.51,"May 14, 2018",2.62,2.35,"4,025,520",2.49,"20,018"
26,2.49,"May 13, 2018",2.54,2.38,"3,928,070",2.43,"15,928"
