,close,date,high,low,market_cap,open,volume
0,1.47,"Jun 08, 2018",1.53,1.45,"67,801,400",1.52,"1,085,990"
1,1.52,"Jun 07, 2018",1.58,1.50,"69,247,900",1.55,"1,208,890"
2,1.55,"Jun 06, 2018",1.61,1.53,"71,420,900",1.60,"838,223"
3,1.61,"Jun 05, 2018",1.62,1.54,"71,193,400",1.60,"1,020,720"
4,1.60,"Jun 04, 2018",1.75,1.58,"77,302,300",1.74,"1,056,890"
5,1.74,"Jun 03, 2018",1.77,1.73,"77,413,800",1.74,"940,612"
6,1.74,"Jun 02, 2018",1.76,1.68,"74,891,000",1.68,"828,781"
7,1.69,"Jun 01, 2018",1.80,1.67,"75,257,800",1.69,"3,221,400"
8,1.70,"May 31, 2018",1.74,1.64,"74,351,600",1.67,"855,970"
9,1.67,"May 30, 2018",1.76,1.63,"74,615,200",1.68,"1,000,310"
10,1.68,"May 29, 2018",1.73,1.58,"70,552,700",1.59,"1,050,280"
11,1.63,"May 28, 2018",1.77,1.59,"77,330,600",1.74,"717,891"
12,1.75,"May 27, 2018",1.79,1.73,"79,346,000",1.79,"570,689"
13,1.78,"May 26, 2018",1.86,1.78,"81,667,800",1.84,"559,935"
14,1.84,"May 25, 2018",1.89,1.81,"82,836,800",1.87,"639,514"
15,1.86,"May 24, 2018",1.93,1.75,"78,660,100",1.77,"1,370,230"
16,1.78,"May 23, 2018",2.01,1.76,"88,320,200",1.99,"1,211,400"
17,1.99,"May 22, 2018",2.14,1.98,"95,034,200",2.14,"737,702"
18,2.14,"May 21, 2018",2.27,2.10,"99,756,600",2.25,"1,617,810"
19,2.25,"May 20, 2018",2.28,2.19,"98,773,800",2.23,"597,914"
20,2.21,"May 19, 2018",2.30,2.20,"99,890,800",2.26,"447,334"
21,2.26,"May 18, 2018",2.29,2.13,"98,216,700",2.22,"1,159,480"
22,2.23,"May 17, 2018",2.39,2.20,"100,500,000",2.27,"1,676,050"
23,2.26,"May 16, 2018",2.39,2.15,"104,360,000",2.36,"1,670,700"
24,2.37,"May 15, 2018",2.77,2.35,"110,952,000",2.51,"4,993,860"
25,2.51,"May 14, 2018",2.53,2.09,"97,839,600",2.21,"4,852,200"
26,2.21,"May 13, 2018",2.24,2.10,"93,494,500",2.12,"1,650,690"
