,close,date,high,low,market_cap,open,volume
0,0.000024,"Jun 08, 2018",0.000024,0.000021,"126,506",0.000024,115
1,0.000024,"Jun 07, 2018",0.000030,0.000021,"151,702",0.000029,114
2,0.000029,"Jun 06, 2018",0.000035,0.000024,"126,878",0.000024,144
3,0.000024,"Jun 05, 2018",0.000035,0.000022,"118,750",0.000023,127
4,0.000023,"Jun 04, 2018",0.000036,0.000023,"117,568",0.000023,105
5,0.000023,"Jun 03, 2018",0.000023,0.000022,"115,793",0.000022,104
6,0.000022,"Jun 02, 2018",0.000024,0.000022,"125,212",0.000024,129
7,0.000024,"Jun 01, 2018",0.000029,0.000024,"141,832",0.000027,139
8,0.000027,"May 31, 2018",0.000028,0.000026,"140,692",0.000027,154
9,0.000027,"May 30, 2018",0.000042,0.000026,"211,201",0.000041,198
10,0.000041,"May 29, 2018",0.000107,0.000039,"202,930",0.000039,282
11,0.000039,"May 28, 2018",0.000064,0.000039,"203,075",0.000039,221
12,0.000039,"May 27, 2018",0.000046,0.000034,"179,212",0.000034,595
13,0.000034,"May 26, 2018",0.000049,0.000031,"161,217",0.000031,300
14,0.000031,"May 25, 2018",0.000048,0.000031,"249,462",0.000048,14
15,0.000048,"May 24, 2018",0.000051,0.000045,"260,540",0.000050,24
16,0.000050,"May 23, 2018",0.000057,0.000026,"294,368",0.000057,133
17,0.000057,"May 22, 2018",0.000058,0.000026,"293,872",0.000056,187
18,0.000057,"May 21, 2018",0.000066,0.000056,"342,444",0.000066,907
19,0.000065,"May 20, 2018",0.000067,0.000064,"337,798",0.000065,117
20,0.000065,"May 19, 2018",0.000066,0.000063,"333,201",0.000064,4
21,0.000064,"May 18, 2018",0.000069,0.000058,"311,823",0.000060,405
22,0.000060,"May 17, 2018",0.000064,0.000060,"326,443",0.000063,0
23,0.000063,"May 16, 2018",0.000072,0.000062,"370,873",0.000071,2
24,0.000071,"May 15, 2018",0.000072,0.000071,"373,335",0.000072,6
25,0.000071,"May 13, 2018",0.000073,0.000071,"375,965",0.000072,5
26,0.000072,"May 12, 2018",0.000074,0.000067,"350,729",0.000067,5
27,0.000082,"May 10, 2018",0.000084,0.000082,"424,427",0.000082,5
28,0.000082,"May 09, 2018",0.000131,0.000081,"678,874",0.000131,10
29,0.000131,"May 08, 2018",0.000132,0.000091,"472,123",0.000091,10
30,0.000090,"May 07, 2018",0.000092,0.000087,"473,140",0.000091,4
31,0.000140,"May 06, 2018",0.000152,0.000137,"768,504",0.000148,2
32,0.000148,"May 05, 2018",0.000148,0.000089,"465,501",0.000089,2
33,0.000089,"May 04, 2018",0.000144,0.000086,"746,714",0.000144,19
34,0.000079,"May 03, 2018",0.000080,0.000078,"409,102",0.000079,2
35,0.000079,"May 02, 2018",0.000102,0.000075,"392,935",0.000076,270
36,0.000076,"May 01, 2018",0.000100,0.000074,"385,101",0.000074,33
37,0.000089,"Apr 30, 2018",0.000092,0.000089,"478,963",0.000092,2
38,0.000092,"Apr 29, 2018",0.000111,0.000092,"560,876",0.000108,2
39,0.000108,"Apr 28, 2018",0.000109,0.000105,"548,126",0.000105,2
40,0.000122,"Apr 27, 2018",0.000124,0.000119,"640,342",0.000123,2
41,0.000123,"Apr 26, 2018",0.000124,0.000081,"430,733",0.000083,30
42,0.000082,"Apr 25, 2018",0.000101,0.000080,"524,538",0.000101,5
43,0.000101,"Apr 24, 2018",0.000138,0.000097,"665,613",0.000128,142
44,0.000128,"Apr 23, 2018",0.000128,0.000121,"631,689",0.000121,70
45,0.000122,"Apr 22, 2018",0.000125,0.000089,"472,273",0.000091,34
46,0.000091,"Apr 21, 2018",0.000133,0.000086,"493,552",0.000095,424
47,0.000095,"Apr 20, 2018",0.000126,0.000088,"465,627",0.000090,31
48,0.000089,"Apr 19, 2018",0.000090,0.000083,"438,013",0.000084,182
49,0.000084,"Apr 18, 2018",0.000207,0.000067,"483,973",0.000093,70
50,0.000093,"Apr 17, 2018",0.000405,0.000079,"408,370",0.000079,"1,245"
51,0.000079,"Apr 16, 2018",0.000132,0.000074,"523,153",0.000101,64
52,0.000101,"Apr 15, 2018",0.000135,0.000098,"690,478",0.000133,5
53,0.000133,"Apr 14, 2018",0.000152,0.000126,"776,275",0.000149,18
