,close,date,high,low,market_cap,open,volume
0,0.001494,"Jun 08, 2018",0.001500,0.001309,"67,380",0.001319,48
1,0.001318,"Jun 07, 2018",0.001472,0.001157,"74,323",0.001455,372
2,0.001453,"Jun 06, 2018",0.001470,0.001350,"72,191",0.001413,6
3,0.001413,"Jun 05, 2018",0.001490,0.001111,"57,489",0.001125,117
4,0.001125,"Jun 04, 2018",0.002111,0.001123,"78,761",0.001542,517
5,0.001541,"Jun 03, 2018",0.001597,0.001479,"81,384",0.001593,27
6,0.001593,"Jun 02, 2018",0.001818,0.001420,"72,953",0.001428,144
7,0.001429,"Jun 01, 2018",0.001669,0.001126,"84,991",0.001664,"1,113"
8,0.001663,"May 31, 2018",0.001745,0.001619,"82,963",0.001624,143
9,0.001624,"May 30, 2018",0.002129,0.001623,"107,519",0.002105,118
10,0.002104,"May 29, 2018",0.002498,0.001766,"90,722",0.001776,213
11,0.001777,"May 28, 2018",0.001798,0.001730,"90,282",0.001768,26
12,0.001767,"May 27, 2018",0.002199,0.001739,"106,740",0.002090,850
13,0.002089,"May 26, 2018",0.002322,0.001944,"113,857",0.002229,73
14,0.002232,"May 25, 2018",0.002290,0.001855,"116,813",0.002287,64
15,0.002283,"May 24, 2018",0.002548,0.001559,"79,635",0.001559,638
16,0.001563,"May 23, 2018",0.002102,0.001506,"103,500",0.002027,808
17,0.002029,"May 22, 2018",0.002286,0.001994,"112,870",0.002210,514
18,0.002211,"May 21, 2018",0.003271,0.002203,"151,120",0.002959,"1,806"
19,0.002956,"May 20, 2018",0.013988,0.002405,"186,614",0.003655,"28,484"
20,0.003645,"May 19, 2018",0.004099,0.001460,"74,967",0.001468,"1,022"
21,0.001414,"May 18, 2018",0.001704,0.001393,"85,315",0.001671,298
22,0.001669,"May 17, 2018",0.001805,0.001438,"73,549",0.001440,146
23,0.001440,"May 16, 2018",0.001838,0.001331,"93,760",0.001836,402
24,0.001837,"May 15, 2018",0.002811,0.001822,"116,529",0.002282,958
25,0.002286,"May 14, 2018",0.002675,0.002132,"113,654",0.002226,319
26,0.002226,"May 13, 2018",0.002242,0.001598,"84,547",0.001656,530
27,0.001657,"May 12, 2018",0.002766,0.001508,"140,063",0.002743,632
28,0.002751,"May 11, 2018",0.003758,0.002146,"183,682",0.003598,"1,577"
29,0.003594,"May 10, 2018",0.004740,0.000870,"189,257",0.003707,"1,955"
30,0.003708,"May 09, 2018",0.003714,0.002593,"133,900",0.002623,285
31,0.002627,"May 08, 2018",0.003379,0.002497,"127,485",0.002497,302
32,0.002492,"May 07, 2018",0.003019,0.002335,"153,517",0.003008,123
33,0.003006,"May 06, 2018",0.004003,0.002733,"202,314",0.003964,36
34,0.003961,"May 05, 2018",0.005155,0.003387,"173,151",0.003392,728
35,0.003394,"May 04, 2018",0.005680,0.001940,"267,828",0.005247,981
36,0.005249,"May 03, 2018",0.005593,0.004647,"237,736",0.004658,56
37,0.004658,"May 02, 2018",0.004856,0.004049,"223,305",0.004375,332
38,0.004382,"May 01, 2018",0.005624,0.003894,"282,994",0.005544,"1,104"
39,0.005540,"Apr 30, 2018",0.005700,0.005307,"278,328",0.005453,2
40,0.005455,"Apr 29, 2018",0.006792,0.005390,"343,784",0.006736,"1,486"
41,0.006649,"Apr 28, 2018",0.006693,0.006314,"323,058",0.006330,47
42,0.006352,"Apr 27, 2018",0.006538,0.005404,"313,540",0.006144,45
43,0.006135,"Apr 26, 2018",0.006712,0.005952,"339,124",0.006647,19
44,0.006593,"Apr 25, 2018",0.007115,0.006583,"359,321",0.007043,51
45,0.007091,"Apr 24, 2018",0.007091,0.005531,"282,303",0.005533,11
46,0.005529,"Apr 23, 2018",0.005545,0.004343,"255,355",0.005005,23
47,0.005015,"Apr 22, 2018",0.005120,0.004891,"251,699",0.004934,11
48,0.004934,"Apr 21, 2018",0.008232,0.004591,"414,760",0.008130,118
49,0.008127,"Apr 20, 2018",0.008203,0.006316,"322,419",0.006320,49
50,0.006316,"Apr 19, 2018",0.006320,0.005853,"299,896",0.005878,4
51,0.005874,"Apr 18, 2018",0.006097,0.005842,"302,129",0.005922,6
52,0.005917,"Apr 17, 2018",0.006107,0.005512,"283,358",0.005554,46
53,0.005551,"Apr 16, 2018",0.005554,0.004909,"259,710",0.005091,12
54,0.005093,"Apr 15, 2018",0.005314,0.004645,"236,951",0.004645,47
55,0.004640,"Apr 14, 2018",0.006975,0.001950,"320,803",0.006288,"1,348"
56,0.006288,"Apr 13, 2018",0.006362,0.005624,"302,973",0.005939,174
57,0.005931,"Apr 12, 2018",0.006121,0.005207,"272,861",0.005349,24
58,0.005362,"Apr 11, 2018",0.006086,0.004841,"310,145",0.006080,283
59,0.006074,"Apr 10, 2018",0.006171,0.005975,"313,823",0.006152,4
60,0.006147,"Apr 09, 2018",0.006596,0.006023,"329,698",0.006463,1
61,0.006453,"Apr 08, 2018",0.006528,0.006352,"323,967",0.006352,1
62,0.006346,"Apr 07, 2018",0.006477,0.005535,"302,551",0.005932,6
63,0.005925,"Apr 06, 2018",0.007125,0.005631,"353,460",0.006930,218
64,0.006966,"Apr 05, 2018",0.007630,0.005306,"294,440",0.005773,148
65,0.005771,"Apr 04, 2018",0.006276,0.005704,"320,113",0.006276,34
66,0.006281,"Apr 03, 2018",0.006551,0.006183,"316,384",0.006203,40
67,0.006199,"Apr 02, 2018",0.006560,0.005877,"316,331",0.006202,7
68,0.006172,"Apr 01, 2018",0.009229,0.006156,"464,020",0.009099,281
69,0.009099,"Mar 31, 2018",0.009134,0.005490,"291,471",0.005715,597
70,0.005714,"Mar 30, 2018",0.006199,0.004955,"277,011",0.005432,261
