,close,date,high,low,market_cap,open,volume
0,0.233754,"Jun 08, 2018",0.259397,0.219635,"41,033,500",0.224227,"105,931"
1,0.224064,"Jun 07, 2018",0.224064,0.199258,"37,166,300",0.203095,"68,127"
2,0.202951,"Jun 06, 2018",0.204166,0.195812,"36,256,700",0.198124,"66,397"
3,0.198178,"Jun 05, 2018",0.201898,0.184357,"34,024,200",0.185924,"65,137"
4,0.185835,"Jun 04, 2018",0.198988,0.182297,"36,277,800",0.198240,"56,244"
5,0.198171,"Jun 03, 2018",0.198784,0.186365,"35,409,100",0.193492,"66,959"
6,0.193552,"Jun 02, 2018",0.198508,0.182268,"34,695,300",0.189592,"70,254"
7,0.189681,"Jun 01, 2018",0.199265,0.180493,"36,360,300",0.198690,"55,191"
8,0.198554,"May 31, 2018",0.202253,0.186162,"34,725,500",0.189757,"90,596"
9,0.189700,"May 30, 2018",0.189700,0.155349,"33,512,300",0.183127,"93,685"
10,0.182951,"May 29, 2018",0.188753,0.170623,"31,586,900",0.172606,"24,807"
11,0.172418,"May 28, 2018",0.182453,0.170195,"31,999,100",0.174858,"16,443"
12,0.174830,"May 27, 2018",0.182896,0.167771,"31,130,000",0.170109,"43,156"
13,0.170000,"May 26, 2018",0.188626,0.169585,"34,156,100",0.186645,"10,150"
14,0.186841,"May 25, 2018",0.195089,0.171630,"34,059,500",0.186118,"15,882"
15,0.185778,"May 24, 2018",0.198388,0.165871,"30,479,500",0.166554,"120,714"
16,0.166996,"May 23, 2018",0.177196,0.152738,"31,990,900",0.174814,"53,481"
17,0.175005,"May 22, 2018",0.190627,0.164677,"31,712,300",0.173291,"49,585"
18,0.170867,"May 21, 2018",0.201903,0.169862,"36,218,200",0.197913,"138,755"
19,0.197436,"May 20, 2018",0.213445,0.182942,"39,060,400",0.213445,"84,827"
20,0.213295,"May 19, 2018",0.216659,0.197583,"36,829,800",0.201256,"22,569"
21,0.201297,"May 18, 2018",0.209422,0.188805,"35,123,700",0.191933,"48,185"
22,0.191563,"May 17, 2018",0.206822,0.190758,"37,278,400",0.203707,"22,827"
23,0.203575,"May 16, 2018",0.206780,0.188360,"36,191,200",0.197766,"41,087"
24,0.197908,"May 15, 2018",0.220301,0.196635,"39,376,000",0.215170,"60,125"
25,0.215538,"May 14, 2018",0.219249,0.191506,"37,779,500",0.206445,"28,798"
26,0.206444,"May 13, 2018",0.207756,0.194396,"38,019,400",0.207756,"48,418"
27,0.207770,"May 12, 2018",0.209797,0.183320,"36,240,000",0.198033,"53,971"
28,0.198638,"May 11, 2018",0.226994,0.198638,"41,539,900",0.226994,"26,228"
29,0.227000,"May 10, 2018",0.240091,0.220780,"43,620,100",0.238361,"35,182"
30,0.238966,"May 09, 2018",0.240556,0.221944,"43,279,600",0.236501,"68,288"
31,0.237061,"May 08, 2018",0.243322,0.218311,"42,661,600",0.233123,"68,089"
32,0.232663,"May 07, 2018",0.240627,0.218088,"43,750,000",0.239071,"15,991"
