,close,date,high,low,market_cap,open,volume
0,0.111984,"Jun 08, 2018",0.117826,0.082969,"1,152,080",0.094093,"35,347"
1,0.094239,"Jun 07, 2018",0.094251,0.076508,"944,914",0.077173,"7,028"
2,0.077187,"Jun 06, 2018",0.093552,0.069833,"1,140,080",0.093113,"15,269"
3,0.093285,"Jun 05, 2018",0.093724,0.070974,"1,031,040",0.084207,"1,460"
4,0.084498,"Jun 04, 2018",0.092960,0.084060,"1,107,720",0.090469,"1,283"
5,0.085077,"Jun 03, 2018",0.086484,0.071203,"871,932",0.071212,494
6,0.071314,"Jun 02, 2018",0.084998,0.067586,"1,039,200",0.084873,"1,154"
7,0.084990,"Jun 01, 2018",0.088727,0.072411,"1,069,860",0.087377,"11,520"
8,0.087292,"May 31, 2018",0.091674,0.081778,"1,007,020",0.082245,"3,803"
9,0.082282,"May 30, 2018",0.090434,0.079475,"1,072,560",0.087598,906
10,0.087643,"May 29, 2018",0.088644,0.076226,"941,046",0.076857,823
11,0.085655,"May 27, 2018",0.088555,0.085017,"1,079,320",0.088150,"1,721"
12,0.088084,"May 26, 2018",0.094438,0.080740,"1,090,130",0.089033,"7,481"
13,0.089092,"May 25, 2018",0.089092,0.075598,"952,493",0.077792,"2,975"
14,0.077741,"May 24, 2018",0.094489,0.069718,"1,090,140",0.089034,"2,717"
15,0.089278,"May 23, 2018",0.096297,0.082496,"1,171,500",0.095678,"2,456"
16,0.095851,"May 22, 2018",0.119477,0.087298,"1,103,330",0.090111,"4,753"
17,0.090182,"May 21, 2018",0.121069,0.089729,"1,333,640",0.108921,"5,541"
18,0.108954,"May 20, 2018",0.125032,0.107602,"1,461,080",0.119329,"3,263"
19,0.119228,"May 19, 2018",0.134195,0.109273,"1,423,090",0.116227,"17,769"
20,0.115516,"May 18, 2018",0.117037,0.108772,"1,356,890",0.110819,"3,579"
21,0.110853,"May 17, 2018",0.122187,0.107232,"1,326,970",0.108376,563
22,0.108391,"May 16, 2018",0.111825,0.101529,"1,357,080",0.110835,"4,087"
23,0.112696,"May 15, 2018",0.133192,0.110941,"1,429,360",0.116738,"8,267"
24,0.117893,"May 14, 2018",0.133511,0.101841,"1,634,720",0.133511,"17,804"
25,0.133624,"May 13, 2018",0.145872,0.104587,"1,299,310",0.106117,"26,709"
26,0.106186,"May 12, 2018",0.115912,0.097885,"1,399,230",0.114278,"1,771"
27,0.114467,"May 11, 2018",0.124828,0.109886,"1,446,200",0.118114,"2,137"
28,0.118075,"May 10, 2018",0.135575,0.117085,"1,483,370",0.121150,"7,781"
29,0.121035,"May 09, 2018",0.125436,0.107190,"1,432,570",0.117001,"7,292"
30,0.117460,"May 08, 2018",0.149073,0.109226,"1,690,640",0.138078,"13,947"
31,0.138069,"May 07, 2018",0.138312,0.110548,"1,496,720",0.122240,"5,753"
32,0.122191,"May 06, 2018",0.133239,0.120208,"1,606,100",0.131173,"1,709"
33,0.131242,"May 05, 2018",0.148094,0.128525,"1,751,100",0.143015,"5,467"
34,0.143145,"May 04, 2018",0.154973,0.139684,"1,870,560",0.152772,"2,436"
35,0.153012,"May 03, 2018",0.157377,0.142175,"1,740,810",0.142175,"10,609"
36,0.142146,"May 02, 2018",0.164824,0.135623,"1,947,480",0.159054,"18,501"
37,0.158898,"May 01, 2018",0.160095,0.144375,"1,885,170",0.153965,"15,380"
38,0.153797,"Apr 30, 2018",0.181966,0.153353,"2,216,040",0.180988,"8,554"
39,0.180698,"Apr 29, 2018",0.206506,0.171463,"2,311,720",0.188802,"30,723"
40,0.189203,"Apr 28, 2018",0.196856,0.170446,"2,154,460",0.175958,"9,625"
41,0.176483,"Apr 27, 2018",0.223600,0.172449,"2,737,780",0.223600,"16,797"
42,0.218445,"Apr 26, 2018",0.218445,0.176300,"2,341,920",0.191269,"54,237"
43,0.189519,"Apr 25, 2018",0.193864,0.116936,"1,822,070",0.148812,"56,926"
44,0.148743,"Apr 24, 2018",0.257738,0.148367,"2,231,050",0.182213,"118,757"
45,0.181739,"Apr 23, 2018",0.272008,0.082907,"1,147,680",0.093733,"153,600"
46,0.094198,"Apr 22, 2018",0.110686,0.092064,"1,197,630",0.097812,"10,046"
47,0.097674,"Apr 21, 2018",0.112633,0.085440,"1,373,060",0.112140,"12,961"
48,0.112024,"Apr 20, 2018",0.112383,0.086871,"1,184,330",0.096727,"15,147"
49,0.094752,"Apr 19, 2018",0.096396,0.068831,"944,646",0.077151,"16,531"
50,0.077121,"Apr 18, 2018",0.086632,0.068479,"1,009,330",0.082434,"6,393"
51,0.082440,"Apr 17, 2018",0.166329,0.074169,"1,187,700",0.097002,"34,588"
52,0.097000,"Apr 16, 2018",0.097000,0.075838,"1,022,630",0.083520,"11,995"
53,0.083403,"Apr 15, 2018",0.083403,0.070278,"872,273",0.071240,"4,826"
54,0.071274,"Apr 14, 2018",0.079020,0.064886,"926,031",0.075631,"8,382"
55,0.075981,"Apr 13, 2018",0.086743,0.070187,"1,038,930",0.084851,"22,313"
56,0.084781,"Apr 12, 2018",0.086444,0.068751,"893,895",0.073006,"9,770"
57,0.072983,"Apr 11, 2018",0.073785,0.061029,"752,222",0.061435,"12,459"
58,0.060916,"Apr 10, 2018",0.088660,0.060916,"1,022,420",0.083503,"8,174"
59,0.083266,"Apr 09, 2018",0.087649,0.075890,"1,025,700",0.083771,"3,061"
60,0.083617,"Apr 08, 2018",0.086136,0.081101,"1,015,850",0.082966,"2,078"
61,0.082930,"Apr 07, 2018",0.084529,0.069381,"850,340",0.069449,"4,801"
62,0.069419,"Apr 06, 2018",0.070607,0.063409,"864,519",0.070607,"3,764"
63,0.070658,"Apr 05, 2018",0.070726,0.059416,"756,960",0.061822,"5,383"
64,0.061980,"Apr 04, 2018",0.073211,0.061366,"893,286",0.072956,"5,251"
65,0.072874,"Apr 03, 2018",0.075470,0.055223,"680,294",0.055561,"8,498"
66,0.055572,"Apr 02, 2018",0.060560,0.055215,"704,742",0.057557,880
67,0.057648,"Apr 01, 2018",0.066952,0.054601,"716,180",0.058492,"8,083"
68,0.058825,"Mar 31, 2018",0.065535,0.058238,"713,074",0.058238,852
69,0.057896,"Mar 30, 2018",0.069219,0.055828,"847,528",0.069219,767
70,0.061179,"Mar 29, 2018",0.071370,0.060436,"866,104",0.070736,78
71,0.070550,"Mar 28, 2018",0.082475,0.058855,"965,472",0.078852,"6,042"
72,0.078773,"Mar 27, 2018",0.088084,0.078773,"1,071,940",0.087548,165
73,0.087661,"Mar 26, 2018",0.096710,0.083755,"1,179,130",0.096302,419
74,0.096469,"Mar 25, 2018",0.098213,0.082580,"1,093,800",0.089332,"3,591"
75,0.089429,"Mar 24, 2018",0.102988,0.072710,"1,176,250",0.096066,"8,617"
76,0.095607,"Mar 23, 2018",0.101351,0.073881,"985,465",0.080485,"29,447"
77,0.080327,"Mar 22, 2018",0.101112,0.056641,"698,705",0.057064,"25,897"
78,0.056977,"Mar 21, 2018",0.062538,0.050469,"619,721",0.050614,"7,053"
79,0.054700,"Mar 20, 2018",0.057319,0.052144,"692,196",0.056533,636
80,0.056249,"Mar 19, 2018",0.057072,0.053422,"672,302",0.054908,"3,376"
81,0.054698,"Mar 18, 2018",0.065476,0.048253,"801,702",0.065476,"5,874"
82,0.065522,"Mar 17, 2018",0.079253,0.056375,"733,222",0.059883,118
83,0.059929,"Mar 16, 2018",0.064412,0.055898,"721,753",0.058947,"5,535"
84,0.059098,"Mar 15, 2018",0.063897,0.045629,"627,344",0.051236,"13,090"
85,0.051219,"Mar 14, 2018",0.068293,0.049760,"817,728",0.066785,"4,326"
86,0.066801,"Mar 13, 2018",0.068279,0.055505,"816,929",0.066720,101
87,0.066812,"Mar 12, 2018",0.081641,0.065647,"960,619",0.078455,"4,521"
88,0.078245,"Mar 11, 2018",0.081114,0.022226,"992,570",0.081065,"127,017"
89,0.081323,"Mar 10, 2018",0.101075,0.076213,"1,032,350",0.084314,"9,941"
90,0.084471,"Mar 09, 2018",0.084471,0.073227,"974,894",0.079621,635
91,0.079724,"Mar 08, 2018",0.106230,0.079035,"1,173,090",0.095808,168
92,0.096000,"Mar 07, 2018",0.099004,0.068554,"877,077",0.071632,"1,529"
93,0.071454,"Mar 06, 2018",0.114884,0.068015,"1,397,230",0.114114,"7,123"
94,0.114061,"Mar 05, 2018",0.115195,0.102301,"1,256,360",0.102609,"3,191"
95,0.102758,"Mar 04, 2018",0.102758,0.088785,"1,147,930",0.093753,"5,172"
96,0.093796,"Mar 03, 2018",0.108793,0.086959,"1,306,450",0.106700,"6,514"
97,0.106796,"Mar 02, 2018",0.125534,0.106317,"1,391,130",0.113616,"5,616"
98,0.113680,"Mar 01, 2018",0.117741,0.101722,"1,384,360",0.113063,"7,051"
99,0.112664,"Feb 28, 2018",0.136998,0.112049,"1,520,160",0.124154,"11,077"
100,0.124064,"Feb 27, 2018",0.125836,0.111282,"1,364,670",0.111455,"5,734"
101,0.111300,"Feb 26, 2018",0.115412,0.094132,"1,158,830",0.094644,"4,585"
102,0.094842,"Feb 25, 2018",0.112093,0.089420,"1,188,340",0.097054,"19,985"
103,0.097395,"Feb 24, 2018",0.120574,0.094671,"1,459,380",0.119190,"5,915"
104,0.119798,"Feb 23, 2018",0.133221,0.099351,"1,473,560",0.120348,"17,211"
105,0.120660,"Feb 22, 2018",0.164017,0.111236,"1,774,930",0.144962,"19,214"
106,0.144898,"Feb 21, 2018",0.175385,0.137591,"2,136,970",0.174530,"14,626"
107,0.174414,"Feb 20, 2018",0.190251,0.150660,"2,057,350",0.168027,"24,915"
108,0.168709,"Feb 19, 2018",0.197661,0.142002,"2,107,820",0.172149,"46,046"
109,0.172633,"Feb 18, 2018",0.211187,0.157011,"2,188,270",0.178720,"39,086"
110,0.178619,"Feb 17, 2018",0.243222,0.161003,"2,870,980",0.234478,"39,708"
111,0.234343,"Feb 16, 2018",0.265897,0.144935,"3,231,700",0.263938,"23,576"
112,0.264127,"Feb 15, 2018",0.269184,0.257795,"3,225,760",0.263453,140
113,0.263317,"Feb 14, 2018",0.263876,0.177583,"2,576,610",0.210436,694
114,0.210528,"Feb 13, 2018",0.414310,0.206404,"5,059,510",0.413219,169
115,0.412639,"Feb 12, 2018",0.417408,0.408949,"5,022,680",0.410211,178
116,0.334404,"Feb 10, 2018",0.359949,0.331748,"4,254,330",0.347459,"8,434"
117,0.347581,"Feb 09, 2018",0.348291,0.310957,"3,948,780",0.322504,"8,766"
118,0.322103,"Feb 08, 2018",0.336014,0.229057,"2,804,600",0.229057,"14,046"
119,0.229643,"Feb 07, 2018",0.358734,0.191175,"4,263,700",0.348224,"5,790"
120,0.348589,"Feb 06, 2018",0.354532,0.171750,"3,822,610",0.312199,"2,313"
121,0.311091,"Feb 05, 2018",0.403701,0.252234,"4,859,690",0.396900,392
122,0.400783,"Feb 04, 2018",0.439187,0.335383,"4,162,600",0.339967,"2,067"
123,0.340070,"Feb 03, 2018",0.482765,0.334331,"5,497,130",0.448960,"1,095"
124,0.446797,"Feb 02, 2018",0.462026,0.283699,"5,160,080",0.421433,"38,372"
125,0.422923,"Feb 01, 2018",0.457519,0.264738,"4,886,010",0.399049,"7,928"
126,0.398289,"Jan 31, 2018",0.449061,0.284559,"5,187,080",0.423638,"8,622"
127,0.422179,"Jan 30, 2018",0.504954,0.410781,"6,167,160",0.503683,"21,839"
128,0.503459,"Jan 29, 2018",0.587367,0.418549,"6,778,490",0.553611,"13,748"
129,0.554429,"Jan 28, 2018",0.632244,0.412171,"6,579,120",0.537328,"18,127"
130,0.533574,"Jan 27, 2018",0.646621,0.506040,"7,895,800",0.644863,"22,279"
131,0.644815,"Jan 26, 2018",0.664836,0.510282,"6,434,450",0.525513,"39,523"
132,0.527347,"Jan 25, 2018",0.703545,0.524732,"6,889,840",0.562705,"9,770"
133,0.558594,"Jan 24, 2018",0.672875,0.553173,"7,113,840",0.580999,"27,339"
134,0.580826,"Jan 23, 2018",0.585887,0.436037,"5,338,890",0.436037,"29,438"
135,0.436832,"Jan 22, 2018",0.683291,0.423476,"8,197,040",0.669467,"23,725"
136,0.666319,"Jan 21, 2018",0.743159,0.462360,"9,099,340",0.743159,"16,476"
137,0.741553,"Jan 20, 2018",0.752979,0.557449,"8,485,550",0.693030,"25,618"
138,0.688591,"Jan 19, 2018",0.798338,0.606251,"9,774,950",0.798338,"8,795"
139,0.804306,"Jan 18, 2018",0.821588,0.531066,"6,655,370",0.543556,"20,564"
140,0.537502,"Jan 17, 2018",0.668002,0.461929,"7,746,880",0.632701,"14,646"
141,0.635038,"Jan 16, 2018",0.839985,0.520720,"9,000,850",0.735115,"6,435"
142,0.733643,"Jan 15, 2018",1.10,0.733643,"13,266,600",1.08,"22,935"
143,1.08,"Jan 14, 2018",1.08,0.735383,-,0.868049,"43,348"
144,0.867234,"Jan 13, 2018",0.965376,0.735574,-,0.785468,"25,817"
145,0.631754,"Jan 12, 2018",0.964157,0.352275,-,0.964157,"22,027"
146,0.953185,"Jan 11, 2018",1.20,0.790924,-,1.15,"28,188"
147,1.15,"Jan 10, 2018",1.36,1.05,-,1.26,"47,016"
148,1.26,"Jan 09, 2018",1.27,0.805562,-,0.805562,"198,046"
149,0.807860,"Jan 08, 2018",0.846414,0.654639,-,0.696819,"67,694"
150,0.690550,"Jan 07, 2018",0.690550,0.557022,-,0.569849,"41,418"
151,0.570076,"Jan 06, 2018",0.629483,0.558268,-,0.595450,"51,335"
152,0.592576,"Jan 05, 2018",0.636451,0.575589,-,0.586503,"25,565"
153,0.579434,"Jan 04, 2018",0.635679,0.576783,-,0.632419,"35,235"
154,0.631412,"Jan 03, 2018",0.643034,0.530515,-,0.624617,"48,640"
155,0.621729,"Jan 02, 2018",0.655291,0.514670,-,0.583846,"30,880"
156,0.582486,"Jan 01, 2018",0.594056,0.434662,-,0.444728,"51,980"
157,0.445293,"Dec 31, 2017",0.526973,0.354930,-,0.485885,"13,831"
158,0.490162,"Dec 30, 2017",0.670253,0.434661,-,0.516502,"41,403"
159,0.515435,"Dec 29, 2017",0.516565,0.274867,-,0.292604,"90,663"
