,close,date,high,low,market_cap,open,volume
0,4.62,"Jun 08, 2018",4.94,4.55,"455,121,000",4.55,"42,605,100"
1,4.54,"Jun 07, 2018",4.54,4.33,"432,543,000",4.33,"29,436,400"
2,4.32,"Jun 06, 2018",4.35,4.24,"432,677,000",4.33,"24,931,200"
3,4.32,"Jun 05, 2018",4.35,4.03,"411,979,000",4.12,"26,460,700"
4,4.12,"Jun 04, 2018",4.42,4.10,"441,320,000",4.41,"27,343,200"
5,4.38,"Jun 03, 2018",4.51,4.30,"431,181,000",4.31,"27,913,200"
6,4.32,"Jun 02, 2018",4.35,4.12,"415,710,000",4.16,"25,845,600"
7,4.16,"Jun 01, 2018",4.24,4.06,"421,112,000",4.21,"26,609,800"
8,4.21,"May 31, 2018",4.34,3.94,"402,016,000",4.02,"32,115,900"
9,4.02,"May 30, 2018",4.61,3.97,"430,652,000",4.31,"29,197,700"
10,4.31,"May 29, 2018",4.31,3.81,"388,798,000",3.89,"24,131,500"
11,3.89,"May 28, 2018",4.24,3.86,"422,319,000",4.22,"22,225,000"
12,4.22,"May 27, 2018",4.40,4.21,"438,742,000",4.39,"20,537,400"
13,4.38,"May 26, 2018",4.57,4.37,"446,390,000",4.46,"21,695,600"
14,4.47,"May 25, 2018",4.78,4.44,"476,766,000",4.77,"20,935,600"
15,4.76,"May 24, 2018",4.89,4.39,"452,597,000",4.53,"23,032,900"
16,4.53,"May 23, 2018",5.27,4.49,"524,564,000",5.25,"23,755,200"
17,5.24,"May 22, 2018",5.78,5.21,"577,885,000",5.78,"31,049,600"
18,5.78,"May 21, 2018",6.12,5.75,"607,133,000",6.07,"30,064,300"
19,6.07,"May 20, 2018",6.16,5.85,"590,784,000",5.91,"28,313,700"
20,5.90,"May 19, 2018",6.11,5.87,"604,512,000",6.05,"29,222,600"
21,6.04,"May 18, 2018",6.11,5.64,"578,461,000",5.78,"30,762,400"
22,5.77,"May 17, 2018",6.26,5.73,"617,290,000",6.17,"27,222,400"
23,6.15,"May 16, 2018",6.39,5.82,"614,389,000",6.14,"29,288,500"
24,6.15,"May 15, 2018",6.80,6.10,"660,084,000",6.60,"32,033,500"
25,6.60,"May 14, 2018",6.80,6.13,"660,366,000",6.60,"32,230,800"
26,6.57,"May 13, 2018",6.70,6.07,"624,512,000",6.25,"29,907,500"
27,6.22,"May 12, 2018",6.32,5.84,"596,215,000",5.96,"27,323,400"
28,5.99,"May 11, 2018",6.47,5.86,"646,551,000",6.47,"30,847,200"
29,6.48,"May 10, 2018",6.83,6.48,"669,294,000",6.69,"30,911,200"
30,6.71,"May 09, 2018",6.71,6.07,"648,229,000",6.48,"31,702,700"
31,6.52,"May 08, 2018",6.83,6.34,"666,542,000",6.67,"29,039,900"
32,6.66,"May 07, 2018",6.95,6.41,"695,074,000",6.95,"30,819,700"
33,6.95,"May 06, 2018",7.38,6.79,"734,417,000",7.34,"29,302,600"
34,7.34,"May 05, 2018",7.73,7.26,"771,461,000",7.71,"34,997,800"
35,7.72,"May 04, 2018",7.85,7.48,"782,882,000",7.83,"39,694,400"
36,7.83,"May 03, 2018",7.97,7.22,"744,797,000",7.45,"46,859,200"
37,7.46,"May 02, 2018",7.52,6.68,"681,143,000",6.81,"43,600,200"
38,6.82,"May 01, 2018",6.88,6.39,"671,809,000",6.72,"36,221,300"
39,6.71,"Apr 30, 2018",7.27,6.53,"701,389,000",7.01,"52,958,700"
40,7.01,"Apr 29, 2018",8.55,6.45,"645,885,000",6.46,"124,324,000"
41,6.45,"Apr 28, 2018",6.78,5.24,"546,984,000",5.47,"74,545,900"
42,5.49,"Apr 27, 2018",5.80,5.49,"558,858,000",5.59,"27,561,500"
43,5.59,"Apr 26, 2018",5.59,5.00,"513,527,000",5.14,"30,401,600"
44,5.09,"Apr 25, 2018",5.95,5.03,"594,976,000",5.95,"29,605,200"
45,5.99,"Apr 24, 2018",5.99,5.55,"556,290,000",5.56,"36,611,400"
46,5.56,"Apr 23, 2018",5.58,5.15,"516,292,000",5.16,"30,460,200"
47,5.18,"Apr 22, 2018",5.28,5.04,"514,594,000",5.15,"26,916,600"
48,5.15,"Apr 21, 2018",5.36,4.93,"535,677,000",5.36,"28,699,900"
49,5.37,"Apr 20, 2018",5.43,5.05,"523,637,000",5.24,"36,027,400"
50,5.23,"Apr 19, 2018",5.23,4.97,"496,644,000",4.97,"30,285,200"
51,4.95,"Apr 18, 2018",4.96,4.70,"470,781,000",4.71,"29,511,600"
52,4.71,"Apr 17, 2018",4.87,4.66,"484,635,000",4.85,"28,594,800"
53,4.82,"Apr 16, 2018",4.95,4.65,"491,219,000",4.91,"26,720,800"
54,4.91,"Apr 15, 2018",4.93,4.67,"467,253,000",4.67,"26,946,800"
55,4.66,"Apr 14, 2018",4.71,4.29,"430,899,000",4.31,"26,077,800"
56,4.31,"Apr 13, 2018",4.62,4.09,"417,315,000",4.17,"26,641,100"
57,4.17,"Apr 12, 2018",4.19,3.67,"380,426,000",3.80,"21,516,200"
58,3.81,"Apr 11, 2018",3.83,3.61,"361,350,000",3.61,"19,941,700"
59,3.61,"Apr 10, 2018",3.66,3.42,"347,681,000",3.48,"16,422,300"
60,3.47,"Apr 09, 2018",3.75,3.40,"364,427,000",3.64,"15,736,200"
61,3.64,"Apr 08, 2018",3.66,3.55,"355,191,000",3.55,"16,253,800"
62,3.55,"Apr 07, 2018",3.64,3.39,"339,530,000",3.40,"18,526,000"
63,3.39,"Apr 06, 2018",3.57,3.36,"353,468,000",3.53,"14,229,200"
64,3.56,"Apr 05, 2018",3.64,3.43,"361,055,000",3.61,"18,183,800"
65,3.61,"Apr 04, 2018",4.09,3.56,"406,249,000",4.06,"16,433,600"
66,4.05,"Apr 03, 2018",4.08,3.67,"376,085,000",3.76,"25,762,400"
67,3.76,"Apr 02, 2018",3.89,3.49,"350,646,000",3.51,"21,036,900"
68,3.49,"Apr 01, 2018",3.67,3.31,"363,079,000",3.63,"17,474,100"
69,3.63,"Mar 31, 2018",3.76,3.58,"357,994,000",3.58,"16,178,400"
70,3.58,"Mar 30, 2018",3.79,3.41,"366,828,000",3.67,"18,422,800"
71,3.69,"Mar 29, 2018",4.28,3.60,"425,721,000",4.26,"19,824,800"
72,4.25,"Mar 28, 2018",4.29,4.09,"411,667,000",4.12,"20,722,100"
73,4.11,"Mar 27, 2018",4.38,4.03,"437,310,000",4.37,"18,969,500"
74,4.39,"Mar 26, 2018",4.78,4.20,"472,671,000",4.73,"18,962,800"
75,4.74,"Mar 25, 2018",4.86,4.58,"469,817,000",4.70,"20,281,200"
76,4.77,"Mar 24, 2018",4.97,4.70,"476,922,000",4.77,"22,757,700"
77,4.70,"Mar 23, 2018",4.82,4.54,"481,542,000",4.82,"18,434,200"
78,4.81,"Mar 22, 2018",5.11,4.66,"500,172,000",5.00,"20,288,200"
79,5.00,"Mar 21, 2018",5.20,4.90,"502,947,000",5.03,"21,143,800"
80,5.02,"Mar 20, 2018",5.08,4.71,"484,953,000",4.85,"23,723,900"
81,4.80,"Mar 19, 2018",4.85,4.39,"438,969,000",4.39,"19,329,400"
82,4.41,"Mar 18, 2018",4.58,3.87,"458,336,000",4.58,"22,563,500"
83,4.61,"Mar 17, 2018",5.03,4.56,"501,288,000",5.01,"19,627,900"
84,5.01,"Mar 16, 2018",5.28,4.86,"521,501,000",5.22,"21,433,900"
85,5.22,"Mar 15, 2018",5.37,4.63,"498,313,000",4.98,"24,144,400"
86,4.98,"Mar 14, 2018",5.72,4.82,"555,434,000",5.55,"22,462,700"
87,5.56,"Mar 13, 2018",5.77,5.40,"555,725,000",5.56,"22,695,500"
88,5.58,"Mar 12, 2018",5.99,5.39,"588,249,000",5.88,"25,160,400"
89,5.90,"Mar 11, 2018",5.99,5.29,"552,342,000",5.52,"21,654,300"
90,5.55,"Mar 10, 2018",6.08,5.51,"586,980,000",5.87,"18,057,800"
91,5.88,"Mar 09, 2018",6.01,5.15,"583,695,000",5.84,"25,548,400"
92,5.87,"Mar 08, 2018",6.46,5.82,"620,429,000",6.20,"31,160,000"
93,6.21,"Mar 07, 2018",6.32,5.56,"616,234,000",6.16,"27,654,600"
94,6.18,"Mar 06, 2018",6.76,6.13,"675,705,000",6.76,"23,312,400"
95,6.75,"Mar 05, 2018",7.03,6.75,"685,839,000",6.86,"26,863,300"
96,6.86,"Mar 04, 2018",6.90,6.60,"688,941,000",6.89,"22,357,700"
97,6.90,"Mar 03, 2018",6.95,6.64,"665,875,000",6.66,"19,895,900"
98,6.68,"Mar 02, 2018",6.74,6.50,"662,555,000",6.63,"19,421,300"
99,6.64,"Mar 01, 2018",6.80,6.14,"630,494,000",6.30,"23,214,300"
100,6.29,"Feb 28, 2018",6.88,6.29,"661,897,000",6.62,"23,822,800"
101,6.59,"Feb 27, 2018",6.89,6.57,"670,970,000",6.71,"23,597,200"
102,6.70,"Feb 26, 2018",6.84,6.36,"648,961,000",6.49,"21,780,800"
103,6.49,"Feb 25, 2018",6.64,6.27,"655,883,000",6.56,"20,420,000"
104,6.56,"Feb 24, 2018",6.99,6.43,"675,317,000",6.75,"20,271,100"
105,6.75,"Feb 23, 2018",6.97,6.35,"657,939,000",6.58,"24,788,900"
106,6.58,"Feb 22, 2018",7.56,6.51,"725,646,000",7.26,"28,774,100"
107,7.27,"Feb 21, 2018",8.54,7.15,"801,955,000",8.02,"39,877,300"
108,8.03,"Feb 20, 2018",8.49,7.94,"810,038,000",8.10,"46,087,500"
109,8.10,"Feb 19, 2018",8.15,7.44,"753,733,000",7.54,"37,813,100"
110,7.54,"Feb 18, 2018",8.09,7.13,"784,044,000",7.84,"40,081,300"
111,7.84,"Feb 17, 2018",7.96,7.63,"788,332,000",7.88,"34,458,200"
112,7.90,"Feb 16, 2018",8.36,7.49,"800,093,000",8.00,"44,143,700"
113,8.07,"Feb 15, 2018",8.07,6.38,"641,992,000",6.42,"61,670,200"
114,6.42,"Feb 14, 2018",6.44,5.58,"558,952,000",5.59,"20,068,500"
115,5.60,"Feb 13, 2018",5.76,5.40,"574,298,000",5.74,"17,030,400"
116,5.72,"Feb 12, 2018",5.89,5.49,"548,602,000",5.49,"20,167,600"
117,5.45,"Feb 11, 2018",5.72,5.01,"571,865,000",5.72,"21,599,600"
118,5.72,"Feb 10, 2018",6.32,5.47,"606,151,000",6.06,"29,552,400"
119,6.04,"Feb 09, 2018",6.09,5.30,"559,784,000",5.60,"24,332,800"
