,close,date,high,low,market_cap,open,volume
0,0.180365,"Jun 08, 2018",0.189000,0.177993,"117,877,000",0.188585,"1,551,280"
1,0.187961,"Jun 07, 2018",0.191506,0.186238,"117,151,000",0.187434,"1,239,450"
2,0.187342,"Jun 06, 2018",0.192117,0.184236,"119,864,000",0.191774,"1,577,470"
3,0.191895,"Jun 05, 2018",0.192033,0.181924,"117,258,000",0.187604,"2,053,220"
4,0.187750,"Jun 04, 2018",0.209401,0.179678,"128,390,000",0.205416,"4,295,820"
5,0.205103,"Jun 03, 2018",0.208918,0.202737,"127,846,000",0.204546,"2,058,000"
6,0.204525,"Jun 02, 2018",0.210289,0.197226,"124,505,000",0.199201,"3,122,930"
7,0.198097,"Jun 01, 2018",0.199580,0.190151,"121,729,000",0.194759,"2,071,770"
8,0.194265,"May 31, 2018",0.195445,0.181451,"115,417,000",0.184660,"1,312,860"
9,0.184926,"May 30, 2018",0.195979,0.180009,"117,691,000",0.188298,"1,883,750"
10,0.188059,"May 29, 2018",0.189803,0.166181,"109,123,000",0.174591,"1,757,520"
11,0.172816,"May 28, 2018",0.200788,0.171313,"122,591,000",0.196139,"1,500,920"
12,0.194426,"May 27, 2018",0.197956,0.192636,"122,140,000",0.195417,"891,150"
13,0.194853,"May 26, 2018",0.208243,0.187310,"125,794,000",0.201264,"2,687,980"
14,0.200514,"May 25, 2018",0.204577,0.191459,"127,076,000",0.203374,"2,004,580"
15,0.202582,"May 24, 2018",0.202929,0.180167,"119,335,000",0.190986,"2,730,510"
16,0.191452,"May 23, 2018",0.213151,0.185149,"132,608,000",0.212227,"2,967,010"
17,0.213364,"May 22, 2018",0.239511,0.213364,"148,277,000",0.237305,"2,312,990"
18,0.237475,"May 21, 2018",0.258687,0.236128,"161,241,000",0.258053,"3,289,140"
19,0.259216,"May 20, 2018",0.260616,0.249064,"157,789,000",0.252528,"2,566,840"
20,0.252605,"May 19, 2018",0.260663,0.247796,"162,452,000",0.259992,"2,246,850"
21,0.260568,"May 18, 2018",0.266604,0.240940,"160,284,000",0.256523,"3,579,650"
22,0.257045,"May 17, 2018",0.283679,0.245493,"174,396,000",0.279109,"6,340,000"
23,0.280994,"May 16, 2018",0.339264,0.273438,"182,097,000",0.291433,"45,729,800"
24,0.290969,"May 15, 2018",0.307549,0.274350,"171,423,000",0.274350,"6,461,200"
25,0.271660,"May 14, 2018",0.289464,0.253346,"175,656,000",0.281125,"3,421,700"
26,0.282043,"May 13, 2018",0.286263,0.244398,"158,198,000",0.253185,"2,475,710"
27,0.253193,"May 12, 2018",0.267723,0.227532,"157,786,000",0.252525,"2,002,820"
28,0.253325,"May 11, 2018",0.300281,0.238164,"187,625,000",0.300281,"4,451,230"
29,0.299290,"May 10, 2018",0.324088,0.298689,"199,954,000",0.320013,"2,754,780"
30,0.319968,"May 09, 2018",0.338531,0.309276,"208,497,000",0.335294,"3,218,990"
31,0.336972,"May 08, 2018",0.355045,0.326027,"218,582,000",0.351513,"4,165,200"
32,0.350373,"May 07, 2018",0.372290,0.335931,"229,550,000",0.369151,"2,936,490"
33,0.369730,"May 06, 2018",0.395587,0.352154,"244,140,000",0.392613,"3,474,640"
34,0.390943,"May 05, 2018",0.405464,0.380700,"243,217,000",0.391129,"5,138,760"
35,0.392390,"May 04, 2018",0.428710,0.371700,"266,563,000",0.428710,"7,110,730"
36,0.427537,"May 03, 2018",0.460847,0.376734,"235,678,000",0.379038,"16,891,700"
37,0.378647,"May 02, 2018",0.393426,0.346822,"215,647,000",0.346822,"6,319,720"
38,0.348400,"May 01, 2018",0.354853,0.325697,"218,350,000",0.351170,"3,497,650"
39,0.349387,"Apr 30, 2018",0.376967,0.328392,"208,973,000",0.336090,"8,210,030"
40,0.336910,"Apr 29, 2018",0.361236,0.327508,"220,097,000",0.353979,"3,464,970"
41,0.353425,"Apr 28, 2018",0.364063,0.335397,"209,922,000",0.337615,"3,200,760"
42,0.338621,"Apr 27, 2018",0.373495,0.332424,"227,475,000",0.365846,"4,617,480"
43,0.367677,"Apr 26, 2018",0.367677,0.297737,"189,543,000",0.305922,"5,092,950"
44,0.303053,"Apr 25, 2018",0.360101,0.294625,"223,111,000",0.360101,"6,050,160"
45,0.363226,"Apr 24, 2018",0.375736,0.343284,"225,391,000",0.363781,"6,700,700"
46,0.364199,"Apr 23, 2018",0.366685,0.341409,"214,799,000",0.346686,"6,230,460"
47,0.348367,"Apr 22, 2018",0.357644,0.328413,"207,961,000",0.335648,"7,818,070"
48,0.335161,"Apr 21, 2018",0.353970,0.308427,"218,605,000",0.352828,"11,392,900"
49,0.351812,"Apr 20, 2018",0.405041,0.348831,"240,901,000",0.388814,"19,267,400"
50,0.384606,"Apr 19, 2018",0.431520,0.334847,"207,422,000",0.335087,"23,106,000"
51,0.334536,"Apr 18, 2018",0.356512,0.283893,"176,533,000",0.285187,"11,092,400"
52,0.284671,"Apr 17, 2018",0.306376,0.259725,"160,772,000",0.259725,"9,744,700"
53,0.258934,"Apr 16, 2018",0.281939,0.237401,"168,487,000",0.272188,"5,262,120"
54,0.273210,"Apr 15, 2018",0.273210,0.241652,"150,045,000",0.242395,"5,148,430"
55,0.245464,"Apr 14, 2018",0.251422,0.210847,"133,777,000",0.216115,"3,758,150"
56,0.215140,"Apr 13, 2018",0.227358,0.200799,"130,026,000",0.210055,"4,017,630"
57,0.210531,"Apr 12, 2018",0.211252,0.174649,"110,597,000",0.178668,"4,129,840"
58,0.179044,"Apr 11, 2018",0.179809,0.172469,"109,025,000",0.176128,"3,318,570"
59,0.176830,"Apr 10, 2018",0.179010,0.160774,"101,209,000",0.163501,"3,827,840"
60,0.163732,"Apr 09, 2018",0.176707,0.155749,"105,562,000",0.170534,"4,545,410"
61,0.169456,"Apr 08, 2018",0.170158,0.160284,"101,933,000",0.164671,"3,001,430"
62,0.165491,"Apr 07, 2018",0.172451,0.143943,"89,175,500",0.144061,"6,573,670"
63,0.144026,"Apr 06, 2018",0.150286,0.137078,"91,952,800",0.148563,"2,311,550"
64,0.149586,"Apr 05, 2018",0.151496,0.137184,"90,391,500",0.146040,"2,358,130"
65,0.146054,"Apr 04, 2018",0.168503,0.144013,"104,294,000",0.168503,"2,450,540"
66,0.167526,"Apr 03, 2018",0.178397,0.141445,"88,496,100",0.142978,"5,259,650"
67,0.142425,"Apr 02, 2018",0.144267,0.134540,"67,470,500",0.136870,"2,002,280"
68,0.136101,"Apr 01, 2018",0.149762,0.124103,"69,713,400",0.141420,"2,681,170"
69,0.141217,"Mar 31, 2018",0.154438,0.136045,"71,322,600",0.144684,"2,441,260"
70,0.145840,"Mar 30, 2018",0.156142,0.135988,"72,407,300",0.146884,"2,781,980"
71,0.147092,"Mar 29, 2018",0.184314,0.143788,"78,783,600",0.159819,"7,044,190"
72,0.159744,"Mar 28, 2018",0.169918,0.137230,"68,443,900",0.138844,"8,375,000"
73,0.139105,"Mar 27, 2018",0.147783,0.134802,"72,454,000",0.146979,"1,480,810"
74,0.146885,"Mar 26, 2018",0.160830,0.137820,"78,459,200",0.159161,"2,186,020"
75,0.159436,"Mar 25, 2018",0.175814,0.153631,"80,621,200",0.163547,"3,556,920"
76,0.164616,"Mar 24, 2018",0.171483,0.157241,"79,070,600",0.160401,"2,201,610"
77,0.158063,"Mar 23, 2018",0.162538,0.141449,"77,820,700",0.157866,"2,403,160"
78,0.157877,"Mar 22, 2018",0.165800,0.145866,"81,283,300",0.164890,"1,954,760"
79,0.165079,"Mar 21, 2018",0.181897,0.157144,"79,205,400",0.160675,"6,185,730"
80,0.158369,"Mar 20, 2018",0.164142,0.129137,"68,072,900",0.138092,"2,979,870"
81,0.136233,"Mar 19, 2018",0.144996,0.118283,"60,814,800",0.123368,"2,541,750"
82,0.123435,"Mar 18, 2018",0.126766,0.101103,"62,489,800",0.126766,"2,763,250"
83,0.127175,"Mar 17, 2018",0.142665,0.125620,"69,900,100",0.141798,"2,191,780"
84,0.141481,"Mar 16, 2018",0.150118,0.130596,"70,200,700",0.142408,"3,503,640"
85,0.143142,"Mar 15, 2018",0.159951,0.116905,"66,954,600",0.135823,"5,802,300"
86,0.135925,"Mar 14, 2018",0.163689,0.132871,"78,563,200",0.159372,"4,688,350"
87,0.159456,"Mar 13, 2018",0.182371,0.151039,"87,893,700",0.178300,"5,296,620"
88,0.179418,"Mar 12, 2018",0.195395,0.172860,"94,766,200",0.192241,"4,217,710"
89,0.193229,"Mar 11, 2018",0.198345,0.171046,"87,276,200",0.177047,"2,242,640"
90,0.179347,"Mar 10, 2018",0.211746,0.174040,"92,879,700",0.188414,"6,463,820"
91,0.182208,"Mar 09, 2018",0.198272,0.161181,"96,118,700",0.194985,"3,727,330"
92,0.197708,"Mar 08, 2018",0.221183,0.192282,"107,698,000",0.218474,"4,554,240"
93,0.220416,"Mar 07, 2018",0.275479,0.204865,"133,763,000",0.271349,"7,918,680"
94,0.271914,"Mar 06, 2018",0.303185,0.269666,"149,129,000",0.302520,"3,358,210"
95,0.304194,"Mar 05, 2018",0.312762,0.301720,"154,177,000",0.312762,"4,332,090"
96,0.313240,"Mar 04, 2018",0.329323,0.288659,"148,931,000",0.302119,"7,787,500"
97,0.302857,"Mar 03, 2018",0.322811,0.285376,"149,423,000",0.303117,"6,453,970"
