,close,date,high,low,market_cap,open,volume
0,0.008393,"Jun 08, 2018",0.008803,0.008323,"1,029,150",0.008604,110
1,0.008598,"Jun 07, 2018",0.008678,0.008569,"1,025,700",0.008576,25
2,0.008568,"Jun 06, 2018",0.008944,0.008354,"1,030,410",0.008615,465
3,0.008617,"Jun 05, 2018",0.009238,0.008119,"1,103,710",0.009228,"1,738"
4,0.009223,"Jun 04, 2018",0.009662,0.008614,"1,152,550",0.009636,28
5,0.009632,"Jun 03, 2018",0.009657,0.009015,"1,104,950",0.009238,171
6,0.009236,"Jun 02, 2018",0.009313,0.009002,"1,078,850",0.009020,33
7,0.009024,"Jun 01, 2018",0.009655,0.008838,"1,137,990",0.009514,159
8,0.009507,"May 31, 2018",0.009507,0.008310,"997,811",0.008342,875
9,0.008344,"May 30, 2018",0.008532,0.008255,"1,008,880",0.008435,141
10,0.008429,"May 29, 2018",0.008674,0.008021,"962,107",0.008044,213
11,0.008047,"May 28, 2018",0.008597,0.008022,"1,001,560",0.008374,204
12,0.008372,"May 27, 2018",0.008506,0.008174,"1,000,150",0.008362,323
13,0.008358,"May 26, 2018",0.008885,0.008313,"1,009,340",0.008439,209
14,0.008525,"May 25, 2018",0.008800,0.008353,"1,040,240",0.008697,93
15,0.008681,"May 24, 2018",0.009081,0.008441,"1,070,270",0.008948,212
16,0.008971,"May 23, 2018",0.010033,0.008592,"1,196,580",0.010004,"1,634"
17,0.010015,"May 22, 2018",0.010582,0.009958,"1,257,020",0.010510,365
18,0.010512,"May 21, 2018",0.010667,0.010332,"1,274,920",0.010659,91
19,0.010646,"May 20, 2018",0.010757,0.010106,"1,252,490",0.010472,165
20,0.010217,"May 19, 2018",0.010409,0.009891,"1,231,790",0.010299,418
21,0.010300,"May 18, 2018",0.010420,0.010092,"1,207,740",0.010098,30
22,0.010089,"May 17, 2018",0.010918,0.010031,"1,268,120",0.010602,398
23,0.010596,"May 16, 2018",0.010956,0.009873,"1,309,360",0.010947,264
24,0.010953,"May 15, 2018",0.011465,0.010131,"1,317,660",0.011017,"1,797"
25,0.011036,"May 14, 2018",0.011248,0.010409,"1,299,270",0.010863,"1,382"
26,0.010865,"May 13, 2018",0.011208,0.010377,"1,266,000",0.010585,53
27,0.010588,"May 12, 2018",0.011255,0.010326,"1,235,030",0.010326,274
28,0.010356,"May 11, 2018",0.012924,0.010338,"1,545,830",0.012924,"3,655"
29,0.012909,"May 10, 2018",0.013780,0.012896,"1,626,440",0.013598,272
30,0.013602,"May 09, 2018",0.013624,0.012859,"1,573,370",0.013154,280
31,0.013175,"May 08, 2018",0.013769,0.013039,"1,646,910",0.013769,450
32,0.013740,"May 07, 2018",0.015486,0.013654,"1,851,280",0.015478,193
33,0.015467,"May 06, 2018",0.015481,0.013933,"1,810,390",0.015136,"1,724"
34,0.015126,"May 05, 2018",0.015795,0.014862,"1,808,520",0.015121,547
35,0.015128,"May 04, 2018",0.017118,0.014536,"1,772,150",0.014816,"1,573"
36,0.014822,"May 03, 2018",0.017096,0.012784,"1,532,720",0.012815,"5,269"
37,0.012814,"May 02, 2018",0.013203,0.011683,"1,412,350",0.011808,"1,668"
38,0.011826,"May 01, 2018",0.014000,0.011758,"1,591,580",0.013307,"1,866"
39,0.013295,"Apr 30, 2018",0.013990,0.013055,"1,619,260",0.013538,"2,240"
40,0.013543,"Apr 29, 2018",0.014397,0.013154,"1,587,250",0.013270,"1,104"
41,0.013276,"Apr 28, 2018",0.014087,0.013252,"1,642,210",0.013730,630
42,0.013777,"Apr 27, 2018",0.014228,0.013441,"1,668,000",0.013946,458
43,0.013926,"Apr 26, 2018",0.013957,0.013016,"1,621,860",0.013560,386
44,0.013449,"Apr 25, 2018",0.015006,0.013283,"1,787,740",0.014947,"1,068"
45,0.015049,"Apr 24, 2018",0.016741,0.013778,"1,648,610",0.013784,"2,799"
46,0.013772,"Apr 23, 2018",0.015916,0.012648,"1,569,490",0.013124,"4,026"
47,0.013151,"Apr 22, 2018",0.013851,0.013085,"1,601,130",0.013393,613
