,close,date,high,low,market_cap,open,volume
0,12.01,"Jun 08, 2018",12.19,11.54,"49,485,300",11.98,"443,510"
1,11.98,"Jun 07, 2018",12.60,11.66,"50,998,300",12.37,"500,388"
2,12.39,"Jun 06, 2018",12.88,12.04,"51,537,000",12.52,"860,631"
3,12.51,"Jun 05, 2018",13.04,11.93,"51,323,300",12.49,"827,280"
4,12.44,"Jun 04, 2018",13.57,12.29,"55,030,200",13.42,"1,219,600"
5,13.42,"Jun 03, 2018",14.06,13.27,"55,701,400",13.61,"731,472"
6,13.62,"Jun 02, 2018",14.75,13.09,"59,856,200",14.65,"1,702,490"
7,14.72,"Jun 01, 2018",15.58,13.29,"55,633,900",13.64,"3,635,380"
8,13.67,"May 31, 2018",14.22,11.62,"47,839,200",11.75,"1,981,000"
9,11.87,"May 30, 2018",12.30,11.33,"49,045,500",12.06,"441,068"
10,12.05,"May 29, 2018",12.31,10.73,"43,979,200",10.84,"712,917"
11,10.84,"May 28, 2018",11.86,10.83,"48,034,400",11.86,"452,264"
12,11.84,"May 27, 2018",11.99,11.29,"46,954,000",11.61,"307,758"
13,11.60,"May 26, 2018",12.36,11.42,"46,708,300",11.57,"567,048"
14,11.65,"May 25, 2018",12.65,11.43,"50,091,300",12.43,"673,653"
15,12.41,"May 24, 2018",12.82,10.66,"45,836,900",11.40,"1,013,640"
16,11.43,"May 23, 2018",13.13,11.30,"52,372,600",13.04,"1,163,310"
17,13.06,"May 22, 2018",14.67,13.00,"58,801,600",14.67,"866,848"
18,14.71,"May 21, 2018",15.74,14.35,"60,276,200",15.07,"1,596,400"
19,15.01,"May 20, 2018",15.21,13.34,"53,629,500",13.43,"1,143,850"
20,13.39,"May 19, 2018",14.21,13.39,"53,708,900",13.47,"509,466"
21,13.42,"May 18, 2018",14.39,13.27,"55,343,000",13.91,"967,656"
22,13.80,"May 17, 2018",15.37,13.80,"59,091,700",14.88,"774,259"
23,14.98,"May 16, 2018",15.54,13.50,"61,081,300",15.41,"1,996,670"
24,15.36,"May 15, 2018",16.71,15.22,"60,782,300",15.36,"1,599,800"
25,15.38,"May 14, 2018",18.16,14.44,"70,412,900",17.83,"3,808,740"
26,17.87,"May 13, 2018",18.21,15.14,"62,373,600",15.82,"4,475,070"
27,15.62,"May 12, 2018",15.82,12.62,"50,848,300",12.92,"3,037,480"
28,12.96,"May 11, 2018",15.14,11.87,"56,946,100",14.50,"3,115,620"
29,14.62,"May 10, 2018",16.92,12.43,"65,200,100",16.63,"5,714,290"
30,16.63,"May 09, 2018",18.05,15.62,"70,616,300",18.04,"3,284,000"
31,18.07,"May 08, 2018",19.89,18.07,"76,045,300",19.47,"1,944,660"
32,19.34,"May 07, 2018",20.86,18.82,"80,253,300",20.58,"2,155,700"
33,20.63,"May 06, 2018",21.74,19.30,"77,578,500",19.93,"3,883,230"
