,close,date,high,low,market_cap,open,volume
0,0.083964,"Jun 08, 2018",0.086369,0.071822,"37,716,900",0.081639,"769,703"
1,0.081519,"Jun 07, 2018",0.088140,0.080157,"39,213,600",0.084878,"690,493"
2,0.084890,"Jun 06, 2018",0.093169,0.079151,"42,963,500",0.092995,"1,068,520"
3,0.092717,"Jun 05, 2018",0.097012,0.089422,"42,126,200",0.091183,"796,197"
4,0.091092,"Jun 04, 2018",0.109554,0.090826,"50,053,000",0.108340,"909,602"
5,0.107424,"Jun 03, 2018",0.113277,0.106329,"51,055,900",0.110511,"741,865"
6,0.110936,"Jun 02, 2018",0.114913,0.106549,"50,064,000",0.108364,"529,523"
7,0.108397,"Jun 01, 2018",0.114499,0.106253,"52,826,300",0.114343,"764,992"
8,0.114346,"May 31, 2018",0.114861,0.106231,"50,050,600",0.108417,"1,310,830"
9,0.107610,"May 30, 2018",0.113959,0.105596,"50,775,900",0.109988,"689,609"
10,0.110488,"May 29, 2018",0.115032,0.096118,"45,340,100",0.098214,"1,864,650"
11,0.098466,"May 28, 2018",0.113901,0.098466,"51,362,400",0.111259,"1,003,970"
12,0.111335,"May 27, 2018",0.121550,0.111212,"55,814,800",0.120903,"1,272,200"
13,0.120901,"May 26, 2018",0.125759,0.118285,"55,589,500",0.120415,"1,259,330"
14,0.120314,"May 25, 2018",0.128273,0.117786,"59,007,800",0.127820,"968,400"
15,0.127688,"May 24, 2018",0.150307,0.113273,"55,326,700",0.119846,"1,189,480"
16,0.119936,"May 23, 2018",0.135298,0.115387,"59,298,000",0.128449,"17,010,300"
17,0.128842,"May 22, 2018",0.147081,0.128842,"66,036,400",0.143045,"1,649,170"
18,0.143036,"May 21, 2018",0.148837,0.135931,"63,799,100",0.138199,"1,551,310"
19,0.137063,"May 20, 2018",0.143301,0.131226,"63,630,200",0.137833,"1,199,440"
20,0.137613,"May 19, 2018",0.155194,0.136152,"67,663,600",0.146570,"837,567"
21,0.146561,"May 18, 2018",0.146997,0.125802,"64,371,800",0.139439,"1,310,190"
22,0.141293,"May 17, 2018",0.164266,0.137117,"72,702,500",0.157485,"1,214,610"
23,0.157324,"May 16, 2018",0.169023,0.153086,"77,762,700",0.168446,"921,602"
24,0.168391,"May 15, 2018",0.179670,0.164391,"80,251,900",0.173838,"1,310,930"
25,0.171761,"May 14, 2018",0.180531,0.158340,"82,185,200",0.178278,"1,547,070"
26,0.178342,"May 13, 2018",0.189653,0.165722,"77,587,900",0.168306,"1,315,580"
27,0.168392,"May 12, 2018",0.174394,0.148097,"77,554,600",0.168233,"1,407,790"
28,0.169934,"May 11, 2018",0.192868,0.159160,"85,619,700",0.185728,"2,451,530"
29,0.185470,"May 10, 2018",0.214279,0.185030,"92,878,200",0.201474,"3,380,130"
30,0.201357,"May 09, 2018",0.201357,0.186992,"92,123,200",0.199836,"1,911,550"
31,0.200110,"May 08, 2018",0.205830,0.182864,"92,575,300",0.200872,"1,704,490"
32,0.195601,"May 07, 2018",0.211004,0.184270,"97,244,900",0.211004,"2,247,910"
33,0.208595,"May 06, 2018",0.228192,0.199841,"93,040,200",0.201881,"2,775,750"
34,0.201844,"May 05, 2018",0.205773,0.171320,"79,300,700",0.172069,"3,558,570"
35,0.174044,"May 04, 2018",0.194510,0.144175,"89,643,200",0.194510,"3,821,350"
36,0.194954,"May 03, 2018",0.201236,0.164557,-,0.171155,"7,371,690"
37,0.172302,"May 02, 2018",0.173217,0.120473,-,0.122870,"6,375,010"
38,0.122177,"May 01, 2018",0.124169,0.104865,-,0.117001,"4,622,720"
39,0.116000,"Apr 30, 2018",0.117265,0.110307,-,0.110677,"5,412,550"
