,close,date,high,low,market_cap,open,volume
0,0.000119,"Jun 08, 2018",0.000119,0.000077,"4,162,320",0.000113,"1,373"
1,0.000113,"Jun 07, 2018",0.000145,0.000076,"5,188,600",0.000140,"6,085"
2,0.000140,"Jun 06, 2018",0.000140,0.000075,"2,941,690",0.000080,"5,930"
3,0.000080,"Jun 05, 2018",0.000116,0.000074,"2,802,310",0.000076,"1,919"
4,0.000076,"Jun 04, 2018",0.000106,0.000075,"3,836,950",0.000104,"4,164"
5,0.000103,"Jun 03, 2018",0.000121,0.000084,"3,280,610",0.000089,"2,848"
6,0.000089,"Jun 02, 2018",0.000093,0.000075,"3,007,760",0.000081,"1,867"
7,0.000081,"Jun 01, 2018",0.000122,0.000078,"2,926,130",0.000079,"2,047"
8,0.000079,"May 31, 2018",0.000179,0.000078,"6,626,230",0.000179,"12,463"
9,0.000179,"May 30, 2018",0.000181,0.000076,"3,417,130",0.000092,"14,836"
10,0.000092,"May 29, 2018",0.000121,0.000078,"3,469,980",0.000094,"8,703"
11,0.000094,"May 28, 2018",0.000134,0.000081,"4,815,590",0.000130,"3,593"
12,0.000130,"May 27, 2018",0.000130,0.000083,"3,825,570",0.000103,"4,714"
13,0.000103,"May 26, 2018",0.000128,0.000097,"3,962,050",0.000107,"2,284"
14,0.000107,"May 25, 2018",0.000119,0.000099,"4,330,740",0.000117,"2,719"
15,0.000114,"May 24, 2018",0.000120,0.000105,"4,033,720",0.000109,"4,687"
16,0.000109,"May 23, 2018",0.000134,0.000109,"4,464,900",0.000121,"7,553"
17,0.000121,"May 22, 2018",0.000149,0.000107,"4,320,470",0.000117,"31,638"
18,0.000117,"May 21, 2018",0.000143,0.000092,"3,648,420",0.000099,"17,263"
19,0.000096,"May 20, 2018",0.000120,0.000091,"4,300,870",0.000116,"13,255"
20,0.000117,"May 19, 2018",0.000154,0.000096,"4,134,270",0.000112,"14,576"
21,0.000114,"May 18, 2018",0.000115,0.000087,"3,519,300",0.000095,"6,290"
22,0.000096,"May 17, 2018",0.000107,0.000089,"3,951,130",0.000107,"7,680"
23,0.000107,"May 16, 2018",0.000107,0.000078,"3,723,890",0.000101,"46,106"
24,0.000100,"May 15, 2018",0.000101,0.000080,"3,344,000",0.000090,"20,282"
25,0.000089,"May 14, 2018",0.000136,0.000083,"3,290,670",0.000089,"12,911"
26,0.000090,"May 13, 2018",0.000110,0.000081,"3,304,110",0.000089,"5,935"
27,0.000087,"May 12, 2018",0.000119,0.000078,"3,068,260",0.000083,"3,710"
28,0.000083,"May 11, 2018",0.000131,0.000082,"4,487,480",0.000121,"4,180"
29,0.000121,"May 10, 2018",0.000150,0.000089,"4,260,130",0.000115,"4,718"
30,0.000113,"May 09, 2018",0.000169,0.000092,"5,388,780",0.000146,"1,997"
31,0.000095,"May 08, 2018",0.000169,0.000094,"3,553,420",0.000096,"4,397"
32,0.000097,"May 07, 2018",0.000137,0.000095,"4,076,020",0.000110,"4,444"
33,0.000110,"May 06, 2018",0.000171,0.000097,"4,909,600",0.000133,"12,494"
34,0.000133,"May 05, 2018",0.000169,0.000097,"3,615,840",0.000098,"3,757"
35,0.000098,"May 04, 2018",0.000173,0.000095,"3,624,130",0.000098,"7,420"
36,0.000098,"May 03, 2018",0.000178,0.000092,"3,418,790",0.000092,"5,073"
37,0.000092,"May 02, 2018",0.000173,0.000091,"3,397,970",0.000092,"5,513"
38,0.000092,"May 01, 2018",0.000174,0.000089,"3,347,090",0.000091,"6,082"
39,0.000091,"Apr 30, 2018",0.000171,0.000090,"3,489,060",0.000094,"7,770"
40,0.000094,"Apr 29, 2018",0.000169,0.000091,"3,451,920",0.000093,"4,072"
41,0.000094,"Apr 28, 2018",0.000126,0.000091,"4,412,550",0.000119,"4,001"
42,0.000120,"Apr 27, 2018",0.000144,0.000090,"3,511,250",0.000095,"7,649"
43,0.000098,"Apr 26, 2018",0.000151,0.000091,"3,472,370",0.000094,"6,031"
44,0.000093,"Apr 25, 2018",0.000111,0.000089,"3,628,060",0.000098,"4,430"
45,0.000099,"Apr 24, 2018",0.000183,0.000087,"3,233,710",0.000087,"9,197"
46,0.000088,"Apr 23, 2018",0.000093,0.000086,"3,185,720",0.000086,"4,862"
47,0.000086,"Apr 22, 2018",0.000095,0.000084,"3,387,040",0.000092,"6,669"
48,0.000092,"Apr 21, 2018",0.000099,0.000090,"3,576,630",0.000097,"7,066"
49,0.000097,"Apr 20, 2018",0.000099,0.000084,"3,183,170",0.000086,"5,526"
50,0.000086,"Apr 19, 2018",0.000129,0.000080,"2,962,060",0.000080,"6,282"
51,0.000080,"Apr 18, 2018",0.000133,0.000078,"2,952,940",0.000080,"4,213"
52,0.000080,"Apr 17, 2018",0.000149,0.000080,"3,033,480",0.000082,"4,046"
53,0.000082,"Apr 16, 2018",0.000138,0.000078,"3,179,450",0.000086,"6,081"
54,0.000086,"Apr 15, 2018",0.000143,0.000082,"3,107,110",0.000084,"4,481"
55,0.000084,"Apr 14, 2018",0.000155,0.000080,"3,051,730",0.000083,"3,550"
56,0.000082,"Apr 13, 2018",0.000157,0.000081,"3,523,350",0.000095,"2,643"
57,0.000095,"Apr 12, 2018",0.000143,0.000070,"2,829,160",0.000077,"7,379"
58,0.000076,"Apr 11, 2018",0.000127,0.000072,"3,269,610",0.000088,"8,009"
59,0.000088,"Apr 10, 2018",0.000130,0.000072,"4,796,700",0.000130,"1,381"
60,0.000130,"Apr 09, 2018",0.000135,0.000069,"2,609,110",0.000071,"15,051"
61,0.000070,"Apr 08, 2018",0.000131,0.000070,"2,625,960",0.000071,"3,223"
62,0.000071,"Apr 07, 2018",0.000125,0.000069,"2,596,250",0.000070,"4,317"
63,0.000072,"Apr 06, 2018",0.000076,0.000070,"2,720,530",0.000074,"4,426"
64,0.000074,"Apr 05, 2018",0.000121,0.000067,"4,361,070",0.000118,"3,143"
65,0.000118,"Apr 04, 2018",0.000144,0.000068,"5,310,140",0.000144,"6,063"
66,0.000078,"Apr 03, 2018",0.000145,0.000075,"3,332,140",0.000090,"4,044"
67,0.000090,"Apr 02, 2018",0.000122,0.000069,"2,627,030",0.000071,"2,294"
68,0.000071,"Apr 01, 2018",0.000135,0.000070,"3,418,250",0.000092,"3,887"
69,0.000092,"Mar 31, 2018",0.000125,0.000071,"2,738,600",0.000074,"2,879"
70,0.000074,"Mar 30, 2018",0.000133,0.000069,"2,681,490",0.000073,"3,180"
71,0.000073,"Mar 29, 2018",0.000162,0.000072,"4,695,300",0.000127,"2,954"
72,0.000127,"Mar 28, 2018",0.000161,0.000081,"4,996,340",0.000135,"2,323"
73,0.000135,"Mar 27, 2018",0.000157,0.000082,"3,325,400",0.000090,"10,974"
74,0.000090,"Mar 26, 2018",0.000162,0.000087,"4,103,320",0.000111,"3,712"
75,0.000111,"Mar 25, 2018",0.000207,0.000097,"4,418,350",0.000120,"3,516"
76,0.000121,"Mar 24, 2018",0.000170,0.000095,"3,574,280",0.000097,"3,737"
77,0.000096,"Mar 23, 2018",0.000117,0.000085,"3,241,680",0.000088,"3,856"
78,0.000095,"Mar 22, 2018",0.000163,0.000093,"3,942,670",0.000107,"3,721"
79,0.000107,"Mar 21, 2018",0.000155,0.000097,"3,576,870",0.000097,"4,238"
80,0.000097,"Mar 20, 2018",0.000173,0.000084,"3,198,820",0.000087,"2,611"
81,0.000086,"Mar 19, 2018",0.000160,0.000085,"3,245,500",0.000088,"3,553"
82,0.000088,"Mar 18, 2018",0.000199,0.000080,"6,495,410",0.000176,"1,516"
83,0.000176,"Mar 17, 2018",0.000229,0.000083,"3,137,270",0.000085,"2,149"
84,0.000085,"Mar 16, 2018",0.000168,0.000085,"6,140,110",0.000166,"2,363"
85,0.000166,"Mar 15, 2018",0.000167,0.000085,"6,066,790",0.000164,"7,136"
86,0.000164,"Mar 14, 2018",0.000195,0.000090,"4,270,310",0.000116,"13,182"
87,0.000115,"Mar 13, 2018",0.000195,0.000101,"4,255,250",0.000115,"1,710"
88,0.000181,"Mar 12, 2018",0.000200,0.000105,"6,934,070",0.000188,"2,719"
89,0.000188,"Mar 11, 2018",0.000190,0.000094,"7,017,770",0.000190,"6,089"
90,0.000190,"Mar 10, 2018",0.000308,0.000116,"9,871,380",0.000267,"8,012"
91,0.000267,"Mar 09, 2018",0.000398,0.000152,"7,773,810",0.000210,"5,954"
92,0.000210,"Mar 08, 2018",0.000211,0.000102,"3,855,540",0.000104,"5,220"
93,0.000104,"Mar 07, 2018",0.000213,0.000104,"7,686,250",0.000208,"4,349"
94,0.000208,"Mar 06, 2018",0.000221,0.000113,"4,400,750",0.000119,"8,966"
95,0.000119,"Mar 05, 2018",0.000232,0.000114,"4,236,700",0.000115,"6,642"
96,0.000115,"Mar 04, 2018",0.000226,0.000111,"8,162,860",0.000221,"4,504"
97,0.000221,"Mar 03, 2018",0.000221,0.000114,"7,941,790",0.000215,"10,848"
98,0.000215,"Mar 02, 2018",0.000221,0.000114,"4,409,910",0.000119,"25,234"
99,0.000120,"Mar 01, 2018",0.000205,0.000112,"5,469,330",0.000148,"3,127"
100,0.000147,"Feb 28, 2018",0.000201,0.000110,"5,378,980",0.000145,"7,095"
101,0.000197,"Feb 27, 2018",0.000214,0.000104,"7,588,410",0.000205,"11,231"
102,0.000205,"Feb 26, 2018",0.000207,0.000096,"3,758,870",0.000102,"12,363"
103,0.000187,"Feb 25, 2018",0.000195,0.000096,"3,862,390",0.000104,"5,937"
104,0.000105,"Feb 24, 2018",0.000206,0.000099,"7,278,960",0.000197,"6,467"
105,0.000197,"Feb 23, 2018",0.000197,0.000104,"5,071,740",0.000137,"3,478"
106,0.000137,"Feb 22, 2018",0.000215,0.000112,"4,656,300",0.000126,"5,223"
107,0.000126,"Feb 21, 2018",0.000213,0.000118,"4,803,810",0.000130,"17,162"
108,0.000130,"Feb 20, 2018",0.000224,0.000118,"4,816,730",0.000130,"6,396"
109,0.000130,"Feb 19, 2018",0.000216,0.000115,"4,432,050",0.000120,"10,456"
110,0.000120,"Feb 18, 2018",0.000221,0.000110,"8,148,790",0.000220,"3,322"
111,0.000118,"Feb 17, 2018",0.000221,0.000108,"6,022,120",0.000163,"9,255"
112,0.000163,"Feb 16, 2018",0.000203,0.000102,"7,361,530",0.000199,"5,427"
113,0.000200,"Feb 15, 2018",0.000200,0.000111,"6,234,100",0.000169,"9,397"
114,0.000169,"Feb 14, 2018",0.000176,0.000115,"4,291,620",0.000116,"4,579"
115,0.000116,"Feb 13, 2018",0.000173,0.000088,"6,364,510",0.000172,"6,009"
116,0.000171,"Feb 12, 2018",0.000174,0.000089,"5,866,250",0.000159,"4,316"
117,0.000159,"Feb 11, 2018",0.000167,0.000081,"3,236,260",0.000088,"3,852"
118,0.000088,"Feb 10, 2018",0.000179,0.000084,"3,724,870",0.000101,"4,664"
119,0.000101,"Feb 09, 2018",0.000173,0.000080,"6,069,520",0.000164,"3,744"
120,0.000164,"Feb 08, 2018",0.000170,0.000081,"5,224,550",0.000141,"16,513"
121,0.000142,"Feb 07, 2018",0.000167,0.000084,"3,432,370",0.000093,"3,679"
122,0.000093,"Feb 06, 2018",0.000150,0.000065,"4,971,130",0.000134,"5,365"
123,0.000134,"Feb 05, 2018",0.000164,0.000073,"3,676,580",0.000099,"8,812"
124,0.000101,"Feb 04, 2018",0.000182,0.000085,"6,718,110",0.000182,"4,950"
125,0.000182,"Feb 03, 2018",0.000189,0.000092,"4,217,590",0.000114,"21,900"
126,0.000114,"Feb 02, 2018",0.000175,0.000084,"3,582,380",0.000097,"9,899"
127,0.000097,"Feb 01, 2018",0.000196,0.000088,"3,899,100",0.000105,"9,080"
128,0.000194,"Jan 31, 2018",0.000202,0.000102,"3,897,770",0.000105,"64,690"
129,0.000105,"Jan 30, 2018",0.000116,0.000098,"4,125,660",0.000112,"2,976"
130,0.000112,"Jan 29, 2018",0.000226,0.000111,"6,210,920",0.000168,"5,428"
131,0.000168,"Jan 28, 2018",0.000180,0.000115,"5,247,930",0.000142,"24,637"
132,0.000141,"Jan 27, 2018",0.000199,0.000113,"4,615,070",0.000125,"8,306"
133,0.000125,"Jan 26, 2018",0.000222,0.000114,"4,686,230",0.000127,"2,632"
134,0.000127,"Jan 25, 2018",0.000225,0.000111,"7,663,050",0.000207,"15,689"
135,0.000209,"Jan 24, 2018",0.000217,0.000110,"5,321,110",0.000144,"6,374"
136,0.000144,"Jan 23, 2018",0.000201,0.000109,"7,346,580",0.000199,"7,122"
137,0.000199,"Jan 22, 2018",0.000228,0.000111,"8,306,170",0.000225,"4,707"
138,0.000222,"Jan 21, 2018",0.000239,0.000116,"6,857,720",0.000185,"26,787"
139,0.000185,"Jan 20, 2018",0.000220,0.000131,"6,866,310",0.000186,"2,861"
140,0.000184,"Jan 19, 2018",0.000191,0.000134,"6,747,780",0.000183,"1,282"
141,0.000184,"Jan 18, 2018",0.000225,0.000110,"4,132,890",0.000112,"10,836"
142,0.000110,"Jan 17, 2018",0.000211,0.000094,"5,418,840",0.000147,"8,763"
143,0.000147,"Jan 16, 2018",0.000251,0.000116,"5,302,930",0.000143,"6,949"
144,0.000143,"Jan 15, 2018",0.000258,0.000138,"9,328,440",0.000252,"25,814"
145,0.000145,"Jan 14, 2018",0.000279,0.000139,"5,749,600",0.000156,"12,211"
146,0.000155,"Jan 13, 2018",0.000610,0.000152,"19,438,000",0.000526,"19,495"
147,0.000527,"Jan 12, 2018",0.000884,0.000342,"14,557,200",0.000394,"31,222"
148,0.000392,"Jan 11, 2018",0.000568,0.000370,"20,092,200",0.000543,"74,425"
149,0.000541,"Jan 10, 2018",0.000640,0.000470,"23,548,800",0.000637,"104,874"
150,0.000637,"Jan 09, 2018",0.000825,0.000565,"26,246,600",0.000710,"162,154"
151,0.000707,"Jan 08, 2018",0.000717,0.000354,"17,096,200",0.000462,"197,244"
152,0.000414,"Jan 07, 2018",0.000514,0.000383,"16,354,700",0.000442,"94,757"
153,0.000434,"Jan 06, 2018",0.000508,0.000236,"8,816,720",0.000238,"46,741"
154,0.000241,"Jan 05, 2018",0.000251,0.000179,"6,962,240",0.000188,"80,615"
155,0.000188,"Jan 04, 2018",0.000203,0.000168,"7,392,010",0.000200,"68,173"
156,0.000199,"Jan 03, 2018",0.000223,0.000168,"7,905,610",0.000214,"52,485"
157,0.000214,"Jan 02, 2018",0.000279,0.000167,"8,977,800",0.000243,"207,253"
158,0.000243,"Jan 01, 2018",0.000272,0.000170,"6,606,080",0.000179,"151,056"
159,0.000179,"Dec 31, 2017",0.000184,0.000080,"2,977,770",0.000081,"71,776"
160,0.000091,"Dec 30, 2017",0.000094,0.000072,"3,145,120",0.000085,"27,332"
161,0.000084,"Dec 29, 2017",0.000089,0.000069,"2,639,830",0.000071,"35,503"
162,0.000070,"Dec 28, 2017",0.000081,0.000056,"2,535,440",0.000069,"41,961"
163,0.000067,"Dec 27, 2017",0.000089,0.000059,"3,294,880",0.000089,"27,235"
164,0.000089,"Dec 26, 2017",0.000095,0.000048,"2,199,000",0.000059,"13,333"
165,0.000059,"Dec 25, 2017",0.000063,0.000046,"2,092,360",0.000057,"6,462"
166,0.000057,"Dec 24, 2017",0.000107,0.000054,"3,716,370",0.000101,"14,743"
167,0.000100,"Dec 23, 2017",0.000122,0.000059,"2,176,050",0.000059,"14,206"
168,0.000059,"Dec 22, 2017",0.000087,0.000048,"3,160,270",0.000085,"18,252"
169,0.000085,"Dec 21, 2017",0.000185,0.000076,"5,819,920",0.000157,"23,757"
170,0.000158,"Dec 20, 2017",0.000214,0.000062,"2,316,400",0.000063,"35,095"
171,0.000062,"Dec 19, 2017",0.000076,0.000041,"2,317,770",0.000063,"29,710"
172,0.000063,"Dec 18, 2017",0.000063,0.000023,"1,523,890",0.000041,"17,881"
173,0.000041,"Dec 17, 2017",0.000162,0.000040,"2,576,950",0.000070,"45,593"
174,0.000067,"Dec 16, 2017",0.000067,0.000021,"1,128,650",0.000031,"7,586"
175,0.000031,"Dec 15, 2017",0.000052,0.000020,"724,160",0.000020,"31,602"
176,0.000020,"Dec 14, 2017",0.000033,0.000016,"879,691",0.000024,"11,516"
177,0.000023,"Dec 13, 2017",0.000041,0.000021,"1,511,630",0.000041,"25,256"
178,0.000041,"Dec 12, 2017",0.000127,0.000041,"4,242,240",0.000115,"5,961"
179,0.000114,"Dec 11, 2017",0.000119,0.000026,"976,721",0.000026,"1,008"
180,0.000027,"Dec 10, 2017",0.000035,0.000025,"1,242,810",0.000034,"1,187"
181,0.000033,"Dec 09, 2017",0.000056,0.000026,"1,825,990",0.000049,"1,861"
182,0.000049,"Dec 08, 2017",0.000057,0.000025,"1,004,450",0.000027,"3,613"
183,0.000027,"Dec 07, 2017",0.000061,0.000024,"2,180,100",0.000059,"3,436"
184,0.000059,"Dec 06, 2017",0.000060,0.000029,"1,059,910",0.000029,"2,003"
185,0.000028,"Dec 05, 2017",0.000049,0.000018,"1,797,810",0.000049,"5,387"
186,0.000048,"Dec 04, 2017",0.000048,0.000028,"1,225,310",0.000033,491
187,0.000033,"Dec 03, 2017",0.000046,0.000028,"1,707,260",0.000046,"2,811"
188,0.000046,"Dec 02, 2017",0.000088,0.000045,"1,870,230",0.000051,"1,376"
189,0.000051,"Dec 01, 2017",0.000072,0.000047,"1,790,880",0.000048,668
190,0.000049,"Nov 30, 2017",0.000092,0.000031,"3,065,910",0.000083,"1,391"
191,0.000082,"Nov 29, 2017",0.000213,0.000030,"2,289,530",0.000062,"1,855"
192,0.000062,"Nov 28, 2017",0.000079,0.000034,"1,255,660",0.000034,956
