,close,date,high,low,market_cap,open,volume
0,0.020679,"Jun 08, 2018",0.020770,0.016682,-,0.017295,"2,190"
1,0.017280,"Jun 07, 2018",0.017453,0.017144,-,0.017144,"1,019"
2,0.017130,"Jun 06, 2018",0.020111,0.017125,-,0.019094,"1,343"
3,0.019106,"Jun 05, 2018",0.019787,0.012666,-,0.012666,318
4,0.012661,"Jun 04, 2018",0.020087,0.012427,-,0.015574,"1,330"
5,0.018347,"Jun 03, 2018",0.018416,0.015020,-,0.015070,222
6,0.015073,"Jun 02, 2018",0.021449,0.015070,-,0.019866,169
7,0.019873,"Jun 01, 2018",0.020310,0.016644,-,0.016691,192
8,0.016676,"May 31, 2018",0.017469,0.015716,-,0.015791,129
9,0.015794,"May 30, 2018",0.019982,0.015619,-,0.018586,194
10,0.018574,"May 29, 2018",0.019120,0.015359,-,0.015974,"1,114"
11,0.015979,"May 28, 2018",0.017741,0.014309,-,0.017738,744
12,0.017733,"May 27, 2018",0.018362,0.017691,-,0.018330,145
13,0.018322,"May 26, 2018",0.018940,0.014554,-,0.018889,556
14,0.018909,"May 25, 2018",0.020712,0.015323,-,0.020693,"1,779"
15,0.020655,"May 24, 2018",0.023736,0.017818,-,0.020505,"2,277"
16,0.020573,"May 23, 2018",0.025759,0.018596,-,0.025736,"4,545"
17,0.025773,"May 22, 2018",0.027584,0.013041,-,0.018332,"4,311"
18,0.018346,"May 21, 2018",0.019438,0.016979,-,0.017468,370
19,0.017446,"May 20, 2018",0.018180,0.015981,-,0.018180,"1,674"
20,0.018166,"May 19, 2018",0.018679,0.016975,-,0.017761,"1,842"
21,0.017763,"May 18, 2018",0.017794,0.015873,-,0.016110,650
22,0.016103,"May 17, 2018",0.017946,0.016004,-,0.017466,791
23,0.017450,"May 16, 2018",0.022302,0.014559,-,0.021233,"1,588"
24,0.021241,"May 15, 2018",0.023394,0.018669,-,0.023183,"1,185"
25,0.023222,"May 14, 2018",0.023665,0.018464,-,0.020574,765
26,0.020581,"May 13, 2018",0.021691,0.018415,-,0.021266,241
27,0.021287,"May 12, 2018",0.021716,0.017593,-,0.021518,"1,166"
28,0.021576,"May 11, 2018",0.023911,0.018701,-,0.023911,"1,188"
29,0.023883,"May 10, 2018",0.024977,0.019817,-,0.024847,"2,729"
30,0.024853,"May 09, 2018",0.024942,0.017851,-,0.024528,"2,792"
31,0.024566,"May 08, 2018",0.026523,0.018070,-,0.018468,"1,516"
32,0.018424,"May 07, 2018",0.030846,0.018296,-,0.027630,448
33,0.027615,"May 06, 2018",0.032075,0.015642,-,0.025138,"1,552"
34,0.025125,"May 05, 2018",0.030130,0.016832,-,0.025716,745
35,0.025725,"May 04, 2018",0.029838,0.024069,-,0.028586,"2,655"
36,0.028603,"May 03, 2018",0.029243,0.024222,-,0.024258,"1,727"
37,0.024258,"May 02, 2018",0.028679,0.023868,-,0.025376,795
38,0.025420,"May 01, 2018",0.026161,0.022034,-,0.022921,371
39,0.022878,"Apr 30, 2018",0.038787,0.022768,-,0.031553,212
40,0.031559,"Apr 29, 2018",0.034914,0.019563,-,0.032961,"1,594"
41,0.032967,"Apr 28, 2018",0.033090,0.020239,-,0.024649,939
42,0.024764,"Apr 27, 2018",0.028102,0.021004,-,0.028102,834
43,0.028060,"Apr 26, 2018",0.028131,0.022303,-,0.022851,563
44,0.022656,"Apr 25, 2018",0.032207,0.022526,-,0.031899,"1,103"
45,0.032104,"Apr 24, 2018",0.032104,0.023260,-,0.023581,541
46,0.023574,"Apr 23, 2018",0.024815,0.021048,-,0.024524,300
47,0.024580,"Apr 22, 2018",0.024580,0.020506,-,0.023475,"1,074"
48,0.023468,"Apr 21, 2018",0.026238,0.022964,-,0.026238,863
49,0.026226,"Apr 20, 2018",0.026925,0.024638,-,0.026427,631
50,0.026413,"Apr 19, 2018",0.042499,0.014564,-,0.019216,"13,350"
51,0.040822,"Apr 18, 2018",0.042084,0.014684,-,0.021906,"16,049"
52,0.021889,"Apr 17, 2018",0.033262,0.021871,-,0.033228,"1,115"
53,0.033217,"Apr 16, 2018",0.046653,0.032833,-,0.045471,"12,084"
54,0.038415,"Apr 15, 2018",0.047052,0.021618,-,0.024214,"32,644"
55,0.022637,"Apr 14, 2018",0.038995,0.020955,-,0.026721,"21,169"
56,0.025644,"Apr 13, 2018",0.047430,0.014358,-,0.047184,"22,491"
57,0.047125,"Apr 12, 2018",0.047348,0.011400,-,0.014758,"20,771"
58,0.014792,"Apr 11, 2018",0.018128,0.009482,-,0.015985,"9,298"
59,0.015260,"Apr 10, 2018",0.019059,0.010197,-,0.012053,"8,734"
60,0.012040,"Apr 09, 2018",0.020563,0.008429,-,0.014222,"4,801"
61,0.013266,"Apr 08, 2018",0.019636,0.007907,-,0.009374,"12,305"
62,0.016925,"Apr 07, 2018",0.021953,0.007186,-,0.013407,"17,129"
63,0.013716,"Apr 06, 2018",0.021595,0.012055,-,0.016530,"6,785"
64,0.016614,"Apr 05, 2018",0.022314,0.010942,-,0.013500,"7,254"
65,0.013958,"Apr 04, 2018",0.019901,0.011273,-,0.017552,"13,836"
66,0.017711,"Apr 03, 2018",0.020119,0.016400,-,0.016769,"16,261"
67,0.017993,"Apr 02, 2018",0.018888,0.014533,-,0.017995,"16,259"
68,0.017048,"Apr 01, 2018",0.021585,0.014702,-,0.019187,"15,350"
69,0.017401,"Mar 31, 2018",0.021422,0.015385,-,0.019416,"15,931"
70,0.015985,"Mar 30, 2018",0.021010,0.014270,-,0.019721,"15,208"
71,0.016265,"Mar 29, 2018",0.023710,0.014854,-,0.016920,"12,736"
72,0.016900,"Mar 28, 2018",0.025691,0.013081,-,0.015554,"12,369"
73,0.015557,"Mar 27, 2018",0.026919,0.013101,-,0.026299,"14,483"
74,0.025281,"Mar 26, 2018",0.027760,0.020519,-,0.022136,"24,006"
75,0.025857,"Mar 25, 2018",0.028548,0.018022,-,0.027644,"21,405"
