,close,date,high,low,market_cap,open,volume
0,0.000076,"Jun 08, 2018",0.000077,0.000076,"46,122",0.000077,218
1,0.000077,"Jun 07, 2018",0.000155,0.000077,"91,934",0.000153,265
2,0.000153,"Jun 06, 2018",0.000154,0.000076,"45,770",0.000076,235
3,0.000076,"Jun 05, 2018",0.000223,0.000076,"90,079",0.000150,"4,292"
4,0.000150,"Jun 04, 2018",0.000232,0.000075,"138,840",0.000231,"5,551"
5,0.000231,"Jun 03, 2018",0.000306,0.000076,"45,835",0.000076,"891,606"
6,0.000076,"Jun 02, 2018",0.000077,0.000075,"45,126",0.000075,8
7,0.000075,"Jun 01, 2018",0.000151,0.000074,"89,951",0.000150,7
8,0.000150,"May 31, 2018",0.000152,0.000073,"88,643",0.000148,260
9,0.000148,"May 30, 2018",0.000151,0.000073,"89,627",0.000149,68
10,0.000149,"May 29, 2018",0.000150,0.000071,"42,736",0.000071,499
11,0.000071,"May 28, 2018",0.000146,0.000071,"44,098",0.000073,508
12,0.000073,"May 27, 2018",0.000147,0.000073,"88,072",0.000147,11
13,0.000147,"May 26, 2018",0.000152,0.000074,"44,833",0.000075,1
14,0.000075,"May 25, 2018",0.000149,0.000074,"45,403",0.000076,2
15,0.000075,"May 24, 2018",0.000077,0.000073,"45,143",0.000075,8
16,0.000075,"May 23, 2018",0.000158,0.000075,"48,048",0.000080,17
17,0.000080,"May 22, 2018",0.000168,0.000080,"100,950",0.000168,2
18,0.000168,"May 21, 2018",0.000171,0.000085,"51,194",0.000085,126
19,0.000085,"May 20, 2018",0.000171,0.000083,"99,002",0.000165,"2,735"
20,0.000165,"May 19, 2018",0.000167,0.000082,"98,924",0.000165,73
21,0.000165,"May 18, 2018",0.000165,0.000080,"48,496",0.000081,49
22,0.000081,"May 17, 2018",0.000167,0.000080,"50,119",0.000083,42
23,0.000083,"May 16, 2018",0.000170,0.000082,"101,892",0.000170,12
24,0.000170,"May 15, 2018",0.000176,0.000085,"104,153",0.000173,179
25,0.000174,"May 14, 2018",0.000176,0.000084,"104,343",0.000174,26
26,0.000174,"May 13, 2018",0.000175,0.000084,"101,671",0.000169,3
27,0.000169,"May 12, 2018",0.000173,0.000165,"100,797",0.000168,43
28,0.000168,"May 11, 2018",0.000173,0.000085,"54,259",0.000090,1
29,0.000090,"May 10, 2018",0.000188,0.000090,"111,830",0.000186,40
30,0.000186,"May 09, 2018",0.000187,0.000092,"55,226",0.000092,208
31,0.000092,"May 08, 2018",0.000189,0.000091,"112,467",0.000187,10
32,0.000187,"May 07, 2018",0.000192,0.000092,"115,430",0.000192,596
33,0.000192,"May 06, 2018",0.000194,0.000096,"59,006",0.000098,30
34,0.000098,"May 05, 2018",0.000199,0.000097,"58,189",0.000097,400
35,0.000097,"May 04, 2018",0.000195,0.000096,"57,785",0.000096,599
36,0.000097,"May 03, 2018",0.000097,0.000092,"55,347",0.000092,26
37,0.000092,"May 02, 2018",0.000182,0.000090,"109,062",0.000182,"1,014"
38,0.000182,"May 01, 2018",0.000185,0.000089,"110,954",0.000185,24
39,0.000185,"Apr 30, 2018",0.000189,0.000093,"112,883",0.000188,568
40,0.000188,"Apr 29, 2018",0.000191,0.000092,"112,210",0.000187,"1,485"
41,0.000187,"Apr 28, 2018",0.000189,0.000091,"107,049",0.000178,402
42,0.000179,"Apr 27, 2018",0.000187,0.000090,"111,629",0.000186,"1,822"
43,0.000186,"Apr 26, 2018",0.000186,0.000087,"106,417",0.000177,74
44,0.000176,"Apr 25, 2018",0.000194,0.000088,"116,443",0.000194,438
45,0.000195,"Apr 24, 2018",0.000195,0.000089,"107,161",0.000178,"6,262"
46,0.000178,"Apr 23, 2018",0.000179,0.000088,"52,717",0.000088,435
47,0.000088,"Apr 22, 2018",0.000180,0.000088,"53,050",0.000088,565
48,0.000175,"Apr 21, 2018",0.000179,0.000173,"106,164",0.000177,5
49,0.000177,"Apr 20, 2018",0.000178,0.000083,"49,641",0.000083,95
50,0.000083,"Apr 19, 2018",0.000165,0.000082,"98,028",0.000163,256
51,0.000163,"Apr 18, 2018",0.000164,0.000158,"94,808",0.000158,291
52,0.000158,"Apr 17, 2018",0.000163,0.000080,"48,325",0.000080,68
53,0.000080,"Apr 16, 2018",0.000161,0.000079,"50,100",0.000083,228
54,0.000083,"Apr 15, 2018",0.000167,0.000081,"96,070",0.000160,509
55,0.000160,"Apr 14, 2018",0.000163,0.000079,"94,458",0.000157,651
56,0.000157,"Apr 13, 2018",0.000164,0.000078,"95,074",0.000158,"1,280"
57,0.000158,"Apr 12, 2018",0.000159,0.000069,"41,702",0.000069,"2,517"
58,0.000070,"Apr 11, 2018",0.000139,0.000068,"82,019",0.000137,"1,881"
59,0.000136,"Apr 10, 2018",0.000137,0.000067,"81,172",0.000135,112
60,0.000135,"Apr 09, 2018",0.000214,0.000067,"84,351",0.000141,"2,768"
61,0.000140,"Apr 08, 2018",0.000278,0.000070,"124,348",0.000207,"20,189"
62,0.000207,"Apr 07, 2018",0.000344,0.000068,"79,502",0.000132,"248,759"
63,0.000132,"Apr 06, 2018",0.000133,0.000065,"40,682",0.000068,51
64,0.000068,"Apr 05, 2018",0.000138,0.000067,"81,548",0.000136,36
65,0.000136,"Apr 04, 2018",0.000148,0.000067,"89,048",0.000148,153
66,0.000148,"Apr 03, 2018",0.000150,0.000074,"84,639",0.000141,144
67,0.000141,"Apr 02, 2018",0.000141,0.000068,"40,975",0.000068,249
68,0.000068,"Apr 01, 2018",0.000141,0.000064,"83,205",0.000139,42
69,0.000139,"Mar 31, 2018",0.000144,0.000070,"82,093",0.000137,79
70,0.000137,"Mar 30, 2018",0.000144,0.000067,"85,054",0.000142,65
