,close,date,high,low,market_cap,open,volume
0,0.003212,"Jun 08, 2018",0.003642,0.003126,-,0.003386,"13,049,000"
1,0.003430,"Jun 07, 2018",0.003522,0.002303,-,0.002335,"29,284,200"
2,0.002334,"Jun 06, 2018",0.002405,0.002240,-,0.002285,"7,023,770"
3,0.002287,"Jun 05, 2018",0.002329,0.002171,-,0.002272,"5,339,160"
4,0.002272,"Jun 04, 2018",0.002401,0.002180,-,0.002384,"7,326,450"
5,0.002383,"Jun 03, 2018",0.002453,0.002311,-,0.002365,"9,516,110"
6,0.002366,"Jun 02, 2018",0.002455,0.002281,-,0.002385,"9,981,380"
7,0.002386,"Jun 01, 2018",0.002398,0.002204,-,0.002340,"5,535,620"
8,0.002336,"May 31, 2018",0.002413,0.002221,-,0.002322,"7,721,490"
9,0.002323,"May 30, 2018",0.002609,0.002280,-,0.002467,"10,847,900"
10,0.002511,"May 29, 2018",0.002614,0.002036,-,0.002151,"11,944,400"
11,0.002177,"May 28, 2018",0.002273,0.002177,-,0.002258,"10,072,300"
